"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";4;1;-;1;-;-;-;7;-;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;429;169;24;1;18;1;3;669
"12 Acre";4;-;-;2;-;1;-;8;-;-;-;1;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;248;145;21;1;4;1;16;456
"13 Amazonas";1;-;-;3;-;-;-;69;-;-;-;1;-;-;-;-;14;6;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;945;727;77;2;11;-;134;1991
"14 Roraima";-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;145;80;16;-;4;-;1;277
"15 Par�";4;-;-;8;-;2;-;14;-;-;2;-;-;-;-;-;36;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;1982;1039;156;5;12;-;17;3319
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;193;140;24;2;-;-;1;365
"17 Tocantins";-;1;-;1;-;3;-;7;-;-;-;-;-;-;-;-;5;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;555;448;137;1;32;-;1;1196
"21 Maranh�o";9;3;-;4;-;3;-;10;-;-;-;-;-;-;-;-;15;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;1;-;2365;1607;233;2;20;2;15;4304
"22 Piau�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;1;1;-;-;-;-;-;1361;1261;255;1;9;-;4;2922
"23 Cear�";4;2;-;4;-;15;-;20;13;-;-;-;-;-;-;-;56;38;1;-;-;-;-;-;-;-;-;1;-;-;-;-;12;-;-;-;-;-;-;-;2799;2120;282;1;22;1;8;5399
"24 Rio Grande do Norte";-;1;-;3;-;6;2;-;-;-;-;-;-;-;-;-;10;9;-;-;-;-;-;1;-;-;-;-;-;-;-;1;6;-;-;2;-;-;-;-;1118;1060;166;5;10;-;4;2404
"25 Para�ba";1;-;-;3;-;1;-;3;-;-;-;-;-;-;-;-;22;30;-;-;-;-;-;-;-;-;-;-;-;-;-;1;23;-;-;-;-;-;-;-;1500;1388;277;5;8;19;4;3285
"26 Pernambuco";-;-;-;35;-;4;-;20;1;-;-;-;-;-;-;-;30;21;-;-;-;-;-;-;-;-;-;-;-;-;-;1;6;-;-;-;-;-;-;-;2579;1984;258;6;36;2;15;4998
"27 Alagoas";3;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;23;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;924;763;133;6;9;1;6;1937
"28 Sergipe";-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;15;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;698;468;71;1;3;2;3;1284
"29 Bahia";13;17;-;53;5;7;1;16;-;-;-;-;-;-;-;-;54;69;-;-;-;-;-;-;-;-;-;-;3;-;-;-;29;-;-;-;-;-;-;-;4189;3105;447;12;24;18;155;8217
"31 Minas Gerais";45;20;7;9;5;26;4;8;-;-;-;-;4;-;-;-;94;67;-;-;-;-;-;-;-;-;-;-;-;-;-;4;22;1;-;-;-;2;-;2;5846;3779;883;18;76;17;153;11092
"32 Esp�rito Santo";13;9;-;11;-;2;2;5;-;-;-;-;2;-;-;-;3;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;913;632;34;5;25;12;138;1812
"33 Rio de Janeiro";71;12;7;40;1;2;2;2;1;1;-;-;7;-;-;3;75;44;-;-;12;2;1;10;2;2;2;-;-;-;-;-;4;1;-;-;-;-;-;-;3015;1332;213;25;11;-;128;5028
"35 S�o Paulo";74;20;2;125;15;17;10;5;4;-;-;-;49;8;2;24;222;97;1;-;2;-;-;3;-;-;3;1;3;5;7;6;11;1;-;-;1;5;1;-;6398;3663;547;56;74;24;1501;12987
"41 Paran�";27;6;1;16;1;9;3;2;-;-;-;-;-;-;-;-;25;14;-;-;-;-;-;-;-;-;1;1;-;2;-;3;6;-;-;1;-;-;-;-;2611;1679;303;7;10;4;333;5065
"42 Santa Catarina";6;2;1;7;-;4;1;2;-;-;-;-;1;-;-;-;14;8;-;-;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;1;-;2036;1272;272;5;27;6;91;3765
"43 Rio Grande do Sul";8;4;-;32;-;9;2;9;1;-;-;-;10;6;1;2;40;14;-;-;-;-;-;1;-;-;-;-;-;14;-;-;8;-;-;-;1;-;-;-;2383;1338;199;9;44;27;429;4591
"50 Mato Grosso do Sul";1;1;-;9;-;1;1;22;-;-;-;-;-;-;-;-;9;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;2;1;-;-;-;736;603;76;3;49;1;6;1535
"51 Mato Grosso";1;1;-;4;-;-;-;18;-;-;-;-;-;-;-;-;8;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;851;628;84;2;11;-;11;1623
"52 Goi�s";4;5;-;4;-;11;1;1;-;-;-;-;1;-;-;1;32;39;-;-;-;-;-;-;-;-;-;-;-;-;-;1;16;-;-;-;1;-;-;-;1596;1166;214;9;65;8;55;3230
"53 Distrito Federal";2;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;14;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;597;264;33;3;14;-;-;940
