"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"31 ESF3SB_M1 - ESF TIPO III COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";247;149;1;22;1;17;5;7;-;-;-;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;6;-;5;1;-;475
"12 Acre";72;131;1;21;-;21;4;8;7;-;5;6;1;-;2;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;-;-;-;3;-;1;291
"13 Amazonas";268;403;41;58;-;71;10;71;6;2;11;69;29;4;-;-;-;-;11;5;-;-;-;-;-;-;-;-;-;-;-;6;1;-;1;-;-;2;-;-;-;4;2;4;-;2;1081
"14 Roraima";56;67;10;-;-;9;5;12;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;165
"15 Par�";627;887;30;338;1;152;18;14;7;-;42;29;7;2;-;-;1;-;31;30;-;-;-;-;-;-;-;-;-;-;-;2;1;1;1;-;-;5;9;-;1;-;-;8;-;2;2246
"16 Amap�";55;120;4;5;-;18;3;-;1;-;1;1;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;3;-;-;-;-;-;-;-;-;218
"17 Tocantins";95;398;18;11;-;33;26;8;15;1;-;-;-;-;-;-;-;-;5;3;-;13;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;87;-;-;-;29;-;2;-;-;747
"21 Maranh�o";677;1521;26;109;-;214;34;6;9;-;-;3;-;-;-;-;-;-;13;11;-;-;-;-;-;1;2;-;1;-;-;-;-;-;2;-;-;9;3;1;3;7;4;3;6;1;2666
"22 Piau�";90;1218;43;2;-;106;60;-;1;-;-;-;-;4;-;-;-;-;4;13;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;96;10;1;3;1;1;1;4;-;1659
"23 Cear�";686;1801;149;77;-;272;37;16;62;1;-;-;-;-;-;-;-;-;42;34;3;9;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;11;-;-;4;-;13;2;3;3226
"24 Rio Grande do Norte";90;976;7;4;-;88;40;-;7;-;-;-;-;-;-;-;-;-;10;9;-;-;-;-;-;1;2;-;9;12;-;-;-;5;-;-;-;55;6;-;-;3;1;1;4;3;1333
"25 Para�ba";114;1340;24;9;-;151;55;3;5;-;-;-;-;-;-;-;-;-;13;22;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;77;16;-;-;2;2;1;2;-;1841
"26 Pernambuco";519;1815;50;178;-;250;28;19;17;1;-;-;-;-;-;-;1;-;29;19;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;5;6;-;3;6;1;2;-;24;2979
"27 Alagoas";156;706;24;16;-;104;27;7;5;-;-;-;-;-;-;-;-;-;22;32;-;-;-;-;-;-;-;-;-;1;-;-;-;6;-;-;-;12;19;-;-;-;-;6;1;2;1146
"28 Sergipe";175;481;1;13;2;47;17;1;12;-;-;-;-;1;-;-;-;-;7;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;12;5;-;1;-;-;-;-;-;786
"29 Bahia";975;2890;13;283;10;368;113;15;28;-;-;-;-;4;-;-;6;-;43;56;1;-;-;-;-;-;-;-;1;1;-;-;3;2;5;-;-;12;21;-;-;2;2;1;9;4;4868
"31 Minas Gerais";2239;2741;788;42;19;493;219;9;1;-;-;-;-;6;-;-;2;-;78;50;-;6;-;-;-;1;-;-;-;-;-;-;2;12;4;-;-;257;10;1;2;20;6;12;13;11;7044
