"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"Total"
"11 Rond�nia";106;119;7;63;12;2;-;-;-;309
"12 Acre";32;105;2;35;1;-;-;-;-;175
"13 Amazonas";215;262;32;129;1;13;-;-;1;653
"14 Roraima";47;52;1;2;-;-;-;-;-;102
"15 Par�";429;391;8;342;-;2;-;-;-;1172
"16 Amap�";50;83;2;21;-;7;-;-;-;163
"17 Tocantins";87;266;4;70;1;3;1;-;-;432
"21 Maranh�o";539;1183;22;110;-;8;2;-;-;1864
"22 Piau�";181;859;36;15;-;10;3;-;-;1104
"23 Cear�";345;1285;89;146;3;66;-;-;-;1934
"24 Rio Grande do Norte";76;794;1;28;-;9;1;-;-;909
"25 Para�ba";107;1128;6;23;6;24;-;-;-;1294
"26 Pernambuco";471;1263;90;196;5;30;1;-;-;2056
"27 Alagoas";142;568;30;33;-;25;-;1;-;799
"28 Sergipe";132;403;3;31;-;-;-;-;-;569
"29 Bahia";703;1736;16;528;11;32;7;3;-;3036
"31 Minas Gerais";1886;1576;408;191;27;124;9;-;-;4221
"32 Esp�rito Santo";184;370;1;139;3;-;-;-;-;697
"33 Rio de Janeiro";815;592;66;196;31;3;1;-;-;1704
"35 S�o Paulo";1830;1303;89;479;70;16;1;-;-;3788
"41 Paran�";582;720;389;232;3;17;1;1;-;1945
"42 Santa Catarina";563;716;27;98;-;10;1;-;-;1415
"43 Rio Grande do Sul";546;613;18;158;5;5;-;-;-;1345
"50 Mato Grosso do Sul";13;368;25;95;4;3;9;-;-;517
"51 Mato Grosso";178;312;44;69;6;2;2;-;-;613
"52 Goi�s";261;670;137;44;-;1;-;-;-;1113
"53 Distrito Federal";60;10;8;48;9;-;-;-;-;135
"Total";10580;17747;1561;3521;198;412;39;5;1;34064
