"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"Total"
"11 Rond�nia";103;114;14;62;12;1;-;-;306
"12 Acre";32;105;2;35;1;-;-;-;175
"13 Amazonas";216;260;32;128;1;5;-;-;642
"14 Roraima";47;49;1;3;-;-;-;-;100
"15 Par�";434;379;8;336;-;1;-;-;1158
"16 Amap�";50;83;2;21;-;6;-;-;162
"17 Tocantins";92;258;3;72;1;1;1;-;428
"21 Maranh�o";540;1174;22;107;-;6;1;-;1850
"22 Piau�";182;858;34;16;-;10;2;-;1102
"23 Cear�";336;1272;87;131;2;55;1;-;1884
"24 Rio Grande do Norte";71;794;1;29;-;7;1;-;903
"25 Para�ba";107;1134;6;23;4;21;-;-;1295
"26 Pernambuco";474;1255;87;200;5;25;-;-;2046
"27 Alagoas";142;566;29;29;-;24;-;-;790
"28 Sergipe";142;397;3;31;-;-;-;-;573
"29 Bahia";719;1716;16;524;9;20;6;1;3011
"31 Minas Gerais";1901;1547;400;178;25;112;6;-;4169
"32 Esp�rito Santo";180;366;1;139;3;-;-;-;689
"33 Rio de Janeiro";821;577;69;189;31;2;1;-;1690
"35 S�o Paulo";1861;1263;87;475;69;13;1;-;3769
"41 Paran�";589;712;387;228;3;13;1;-;1933
"42 Santa Catarina";564;715;26;95;-;9;1;-;1410
"43 Rio Grande do Sul";531;604;18;155;3;4;-;-;1315
"50 Mato Grosso do Sul";14;363;26;96;1;3;6;-;509
"51 Mato Grosso";183;309;43;69;6;-;2;-;612
"52 Goi�s";258;663;139;46;-;1;-;-;1107
"53 Distrito Federal";58;10;9;49;9;-;-;-;135
"Total";10647;17543;1552;3466;185;339;30;1;33763
