"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"Total"
"11 Rond�nia";103;96;13;56;13;281
"12 Acre";27;102;2;37;-;168
"13 Amazonas";205;261;22;133;1;622
"14 Roraima";47;46;1;1;-;95
"15 Par�";391;346;6;317;-;1060
"16 Amap�";42;76;-;27;-;145
"17 Tocantins";101;251;2;67;1;422
"21 Maranh�o";552;1123;20;100;-;1795
"22 Piau�";185;829;27;14;-;1055
"23 Cear�";365;1311;59;135;3;1873
"24 Rio Grande do Norte";68;771;1;31;-;871
"25 Para�ba";121;1098;5;18;-;1242
"26 Pernambuco";507;1155;68;197;5;1932
"27 Alagoas";143;558;30;27;-;758
"28 Sergipe";148;373;3;16;-;540
"29 Bahia";761;1548;15;496;7;2827
"31 Minas Gerais";1910;1419;332;144;20;3825
"32 Esp�rito Santo";191;310;1;129;2;633
"33 Rio de Janeiro";808;511;52;164;31;1566
"35 S�o Paulo";1832;1141;71;432;69;3545
"41 Paran�";572;645;363;231;2;1813
"42 Santa Catarina";578;651;18;99;-;1346
"43 Rio Grande do Sul";527;532;16;158;-;1233
"50 Mato Grosso do Sul";23;333;26;93;1;476
"51 Mato Grosso";194;281;37;66;7;585
"52 Goi�s";299;600;130;41;-;1070
"53 Distrito Federal";44;9;6;44;10;113
"Total";10744;16376;1326;3273;172;31891
