"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"Total"
"11 Rond�nia";106;119;7;62;12;3;-;-;-;309
"12 Acre";31;104;2;37;1;-;-;-;-;175
"13 Amazonas";215;262;32;130;1;14;-;-;1;655
"14 Roraima";47;51;1;2;-;-;-;-;-;101
"15 Par�";440;398;8;342;-;2;-;-;-;1190
"16 Amap�";50;83;2;21;-;7;-;-;-;163
"17 Tocantins";86;264;4;70;1;3;1;-;-;429
"21 Maranh�o";542;1188;22;102;-;8;2;-;-;1864
"22 Piau�";181;857;38;15;-;10;3;-;-;1104
"23 Cear�";353;1277;84;143;3;66;-;-;-;1926
"24 Rio Grande do Norte";70;785;1;28;-;8;1;-;-;893
"25 Para�ba";108;1129;6;23;6;25;-;-;-;1297
"26 Pernambuco";468;1279;91;194;5;30;1;-;-;2068
"27 Alagoas";142;570;30;31;-;25;-;1;-;799
"28 Sergipe";133;405;3;31;-;1;-;-;-;573
"29 Bahia";699;1746;16;522;12;33;7;3;-;3038
"31 Minas Gerais";1882;1586;414;197;27;127;9;-;-;4242
"32 Esp�rito Santo";185;365;1;138;3;-;-;-;-;692
"33 Rio de Janeiro";811;592;67;207;31;3;1;-;-;1712
"35 S�o Paulo";1835;1301;94;479;68;16;1;-;-;3794
"41 Paran�";578;721;389;232;4;21;1;1;-;1947
"42 Santa Catarina";561;718;27;99;-;11;1;-;-;1417
"43 Rio Grande do Sul";544;617;18;159;5;5;-;-;-;1348
"50 Mato Grosso do Sul";14;367;25;94;5;3;9;-;-;517
"51 Mato Grosso";177;311;44;68;6;2;3;-;-;611
"52 Goi�s";259;664;134;44;-;1;-;-;-;1102
"53 Distrito Federal";60;10;8;48;9;-;-;-;-;135
"Total";10577;17769;1568;3518;199;424;40;5;1;34101
