"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"Total"
"11 Rond�nia";103;113;14;59;12;-;-;301
"12 Acre";33;101;2;35;1;-;-;172
"13 Amazonas";221;264;26;126;1;3;-;641
"14 Roraima";44;51;1;1;-;-;-;97
"15 Par�";427;369;8;328;-;-;-;1132
"16 Amap�";43;76;2;27;-;-;-;148
"17 Tocantins";93;260;2;68;1;1;1;426
"21 Maranh�o";534;1175;22;103;-;3;1;1838
"22 Piau�";188;848;31;16;-;3;-;1086
"23 Cear�";324;1279;70;131;3;28;1;1836
"24 Rio Grande do Norte";69;789;1;30;-;-;-;889
"25 Para�ba";106;1125;6;18;4;12;-;1271
"26 Pernambuco";477;1234;85;190;5;8;-;1999
"27 Alagoas";143;561;30;29;-;18;-;781
"28 Sergipe";148;390;3;25;-;-;-;566
"29 Bahia";727;1669;16;519;9;7;3;2950
"31 Minas Gerais";1898;1498;372;168;22;34;3;3995
"32 Esp�rito Santo";171;351;1;133;3;-;-;659
"33 Rio de Janeiro";811;550;60;172;31;-;-;1624
"35 S�o Paulo";1856;1237;84;452;69;13;1;3712
"41 Paran�";587;685;388;232;3;3;-;1898
"42 Santa Catarina";559;696;22;97;-;4;-;1378
"43 Rio Grande do Sul";528;585;18;152;-;-;-;1283
"50 Mato Grosso do Sul";13;357;26;92;1;2;2;493
"51 Mato Grosso";186;297;40;64;6;-;-;593
"52 Goi�s";288;631;127;41;-;-;-;1087
"53 Distrito Federal";58;10;9;47;9;-;-;133
"Total";10635;17201;1466;3355;180;139;12;32988
