"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"Total"
"11 Rond�nia";104;108;14;58;12;296
"12 Acre";31;103;2;35;1;172
"13 Amazonas";219;264;26;126;1;636
"14 Roraima";43;50;1;1;-;95
"15 Par�";427;364;8;324;-;1123
"16 Amap�";43;76;2;27;-;148
"17 Tocantins";95;265;2;68;1;431
"21 Maranh�o";533;1172;22;103;-;1830
"22 Piau�";185;849;31;16;-;1081
"23 Cear�";323;1258;70;146;3;1800
"24 Rio Grande do Norte";72;785;1;30;-;888
"25 Para�ba";111;1114;6;18;4;1253
"26 Pernambuco";489;1209;83;194;5;1980
"27 Alagoas";145;557;30;30;-;762
"28 Sergipe";145;390;3;24;-;562
"29 Bahia";728;1639;16;514;9;2906
"31 Minas Gerais";1898;1476;365;158;22;3919
"32 Esp�rito Santo";167;341;1;131;3;643
"33 Rio de Janeiro";813;547;53;170;31;1614
"35 S�o Paulo";1856;1211;80;449;67;3663
"41 Paran�";589;679;389;227;3;1887
"42 Santa Catarina";569;693;21;97;-;1380
"43 Rio Grande do Sul";536;571;18;149;-;1274
"50 Mato Grosso do Sul";12;354;26;94;1;487
"51 Mato Grosso";189;295;38;66;6;594
"52 Goi�s";291;624;122;38;-;1075
"53 Distrito Federal";58;10;8;47;9;132
"Total";10671;17004;1438;3340;178;3263
