"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"Total"
"11 Rond�nia";100;97;13;56;13;279
"12 Acre";27;104;2;37;-;170
"13 Amazonas";204;260;22;126;1;613
"14 Roraima";47;45;-;1;-;93
"15 Par�";394;349;6;317;-;1066
"16 Amap�";42;76;-;27;-;145
"17 Tocantins";105;247;2;65;1;420
"21 Maranh�o";549;1131;20;99;-;1799
"22 Piau�";182;832;28;14;-;1056
"23 Cear�";333;1290;62;134;3;1822
"24 Rio Grande do Norte";71;779;1;31;-;882
"25 Para�ba";120;1096;6;18;-;1240
"26 Pernambuco";506;1158;69;195;5;1933
"27 Alagoas";148;555;30;28;-;761
"28 Sergipe";145;372;3;17;-;537
"29 Bahia";737;1583;17;499;7;2843
"31 Minas Gerais";1916;1426;328;143;20;3833
"32 Esp�rito Santo";179;327;1;131;3;641
"33 Rio de Janeiro";805;524;51;167;31;1578
"35 S�o Paulo";1823;1157;74;452;69;3575
"41 Paran�";575;654;368;233;2;1832
"42 Santa Catarina";572;666;19;97;-;1354
"43 Rio Grande do Sul";520;536;18;153;-;1227
"50 Mato Grosso do Sul";22;340;26;94;1;483
"51 Mato Grosso";189;286;37;65;7;584
"52 Goi�s";270;613;116;41;-;1040
"53 Distrito Federal";51;10;8;44;10;123
"Total";10632;16513;1327;3284;173;31929
