"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"Total"
"11 Rond�nia";99;96;14;57;12;278
"12 Acre";27;104;2;37;-;170
"13 Amazonas";209;262;22;122;1;616
"14 Roraima";47;45;-;1;-;93
"15 Par�";398;355;6;323;-;1082
"16 Amap�";42;76;-;27;-;145
"17 Tocantins";102;259;2;64;1;428
"21 Maranh�o";546;1138;20;101;-;1805
"22 Piau�";184;844;29;15;-;1072
"23 Cear�";327;1287;65;142;3;1824
"24 Rio Grande do Norte";70;784;1;31;-;886
"25 Para�ba";118;1102;6;18;3;1247
"26 Pernambuco";507;1156;73;196;5;1937
"27 Alagoas";149;556;29;27;-;761
"28 Sergipe";148;387;3;19;-;557
"29 Bahia";728;1609;17;503;7;2864
"31 Minas Gerais";1911;1449;342;147;21;3870
"32 Esp�rito Santo";179;340;1;130;3;653
"33 Rio de Janeiro";811;536;53;167;31;1598
"35 S�o Paulo";1821;1171;74;448;68;3582
"41 Paran�";580;670;381;229;2;1862
"42 Santa Catarina";562;679;21;97;-;1359
"43 Rio Grande do Sul";518;547;18;152;-;1235
"50 Mato Grosso do Sul";20;344;26;94;1;485
"51 Mato Grosso";192;292;36;65;6;591
"52 Goi�s";292;616;127;40;-;1075
"53 Distrito Federal";56;10;10;46;9;131
"Total";10643;16714;1378;3298;173;32206
