"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";4;3;-;2;-;-;-;7;-;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;424;159;24;1;18;1;3;657
"12 Acre";4;2;-;2;-;1;-;10;-;-;-;1;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;248;145;21;1;4;1;13;458
"13 Amazonas";1;-;-;3;-;-;-;68;-;-;-;1;-;-;-;-;14;6;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;937;706;77;2;11;-;118;1945
"14 Roraima";-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;144;84;16;-;4;-;1;269
"15 Par�";4;-;-;10;-;2;-;14;-;-;3;-;-;-;-;-;36;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;1975;1036;156;5;12;-;17;3312
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;193;132;24;2;-;-;1;353
"17 Tocantins";2;4;-;1;-;3;-;8;1;-;-;-;-;-;-;-;5;4;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;-;1;-;-;547;439;136;1;31;-;2;1189
"21 Maranh�o";13;4;-;5;-;4;-;10;1;-;-;-;-;-;-;-;15;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;1;-;2357;1568;232;2;18;5;10;4260
"22 Piau�";-;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;5;14;-;-;-;-;-;-;-;-;-;-;-;-;-;1;10;1;1;-;-;-;-;-;1355;1257;253;1;9;-;4;2915
"23 Cear�";4;2;-;4;-;15;-;19;13;-;-;-;-;-;-;-;57;39;1;-;-;-;-;-;-;-;-;1;-;-;-;-;12;-;-;-;-;-;-;-;2797;2104;282;1;22;-;7;5380
"24 Rio Grande do Norte";-;1;-;3;-;6;2;-;-;-;-;-;-;-;-;-;10;9;-;-;-;-;-;1;-;-;-;-;-;-;-;1;6;-;-;2;-;-;-;-;1118;1026;166;5;10;-;4;2370
"25 Para�ba";1;-;-;3;-;2;-;3;-;-;-;-;-;-;-;-;22;30;-;-;-;-;-;-;-;-;-;-;-;-;-;1;23;-;-;-;-;1;-;-;1498;1360;277;5;8;19;4;3257
"26 Pernambuco";1;-;-;38;-;5;-;20;1;-;-;-;-;-;-;-;31;21;-;-;-;-;-;-;-;-;-;-;-;-;-;1;6;-;-;-;-;-;-;-;2572;1980;260;6;36;2;11;4991
"27 Alagoas";3;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;23;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;925;763;133;6;9;1;5;1937
"28 Sergipe";-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;9;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;697;469;71;1;3;2;3;1276
"29 Bahia";15;17;-;54;5;8;2;16;-;-;-;-;-;-;-;-;52;68;-;-;-;-;-;-;-;-;-;-;3;-;-;-;29;-;-;-;-;-;-;-;4179;3000;443;12;24;19;142;8088
"31 Minas Gerais";49;23;7;9;5;26;5;8;-;-;-;-;4;-;-;-;94;67;-;-;-;-;-;-;-;-;-;-;-;-;-;5;22;1;-;-;-;2;-;2;5818;3737;884;18;76;17;144;11023
"32 Esp�rito Santo";17;9;-;14;-;3;3;5;1;-;-;-;2;-;-;-;3;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;893;613;34;5;25;13;124;1770
"33 Rio de Janeiro";76;13;7;40;1;5;3;2;1;1;-;-;7;-;-;3;75;43;-;-;13;2;1;10;2;2;2;-;-;-;-;-;3;1;-;-;-;-;-;-;3004;1279;205;25;11;1;125;4963
"35 S�o Paulo";83;24;2;131;15;17;11;5;4;-;-;-;50;8;2;24;220;95;1;-;2;-;-;3;-;-;3;1;3;5;7;6;10;1;-;-;1;5;1;1;6355;3385;545;57;66;22;1406;12577
"41 Paran�";32;7;1;22;1;9;4;2;-;-;-;-;-;-;-;-;24;14;-;-;-;-;-;-;-;-;1;1;-;2;-;4;5;-;-;1;-;-;-;-;2601;1648;301;7;10;4;324;5025
"42 Santa Catarina";7;5;1;7;-;4;2;4;-;-;-;-;1;-;-;-;14;8;-;-;-;1;-;-;-;-;-;-;-;-;-;10;3;-;-;-;-;-;1;-;2021;1240;261;5;27;5;89;3716
"43 Rio Grande do Sul";9;9;-;33;-;9;2;9;1;-;-;-;10;6;1;2;40;14;-;-;-;-;-;1;-;-;-;-;-;14;-;-;8;-;-;-;1;-;-;1;2370;1302;201;9;43;26;410;4531
"50 Mato Grosso do Sul";1;1;-;9;-;1;1;22;-;-;-;-;-;-;-;-;9;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;2;1;-;-;-;734;570;76;3;47;1;6;1497
"51 Mato Grosso";1;4;-;4;-;-;-;18;-;-;-;-;-;-;-;-;7;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;844;598;85;2;11;-;12;1590
"52 Goi�s";5;6;-;4;-;11;1;1;-;-;-;-;1;-;-;1;33;40;-;-;-;-;-;-;-;-;-;-;-;-;-;2;16;-;-;-;1;-;-;-;1594;1164;216;9;64;5;52;3226
"53 Distrito Federal";2;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;14;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;595;263;33;3;14;-;-;937
"Total";334;136;18;398;27;138;37;280;23;1;3;2;75;14;3;30;824;594;2;1;15;3;1;15;2;2;6;3;6;21;7;36;199;6;1;7;4;9;3;4;48795;32027;5412;194;613;144;3037;93512
