"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";240;146;2;27;1;17;4;-;9;1;-;-;-;-;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;2;-;-;-;8;-;4;1;-;475
"12 Acre";83;133;1;19;-;21;4;-;10;4;-;6;6;1;-;-;2;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;-;-;-;3;-;1;302
"13 Amazonas";274;366;44;55;-;66;10;-;39;2;-;9;58;-;13;1;-;-;-;-;-;11;5;-;-;-;-;-;-;-;-;-;-;-;6;1;-;1;-;-;2;-;-;-;4;2;3;-;1;973
"14 Roraima";68;55;11;-;-;9;5;-;21;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;174
"15 Par�";650;836;30;339;1;143;16;-;19;6;-;34;22;-;5;2;-;-;2;-;-;24;24;-;-;-;-;-;5;-;-;1;-;-;2;1;1;1;-;-;5;7;-;1;-;-;8;-;3;2188
"16 Amap�";61;112;5;-;1;18;3;-;-;1;-;1;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;1;212
"17 Tocantins";97;396;18;5;-;33;26;-;3;3;-;-;-;-;-;-;-;-;-;-;-;5;3;1;12;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;90;-;-;-;24;-;2;-;-;721
"21 Maranh�o";684;1459;26;75;-;223;31;-;9;10;-;-;3;-;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;3;-;2;-;-;-;-;-;2;-;-;10;3;1;3;7;5;2;6;1;2587
"22 Piau�";83;1203;44;8;-;105;54;-;-;6;-;-;-;-;-;-;-;-;-;-;-;4;13;-;-;-;-;-;-;-;-;2;2;-;-;-;1;-;-;-;102;10;1;3;1;-;1;3;-;1646
"23 Cear�";685;1647;145;146;-;271;38;14;-;97;3;-;-;-;-;-;-;-;-;-;-;23;23;2;4;-;-;-;-;1;-;1;-;-;-;-;2;-;-;-;1;10;-;-;5;3;8;-;2;3131
"24 Rio Grande do Norte";94;951;8;5;-;87;40;-;-;10;-;-;-;-;-;-;-;-;-;-;-;11;9;-;-;-;-;-;5;5;-;7;9;-;-;-;5;-;-;-;55;2;-;-;3;1;1;3;2;1313
"25 Para�ba";106;1317;19;11;7;154;54;3;-;9;-;-;-;-;-;-;-;-;-;-;-;13;17;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;81;9;-;-;3;-;-;-;-;1808
"26 Pernambuco";545;1720;52;192;-;252;29;22;-;30;2;-;-;-;-;-;-;-;-;-;-;32;20;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;5;4;-;3;3;1;1;-;20;2939
"27 Alagoas";164;687;24;18;-;106;27;11;-;5;-;-;-;-;-;-;-;-;-;-;-;21;21;-;-;-;-;-;-;-;-;-;1;-;-;-;6;-;-;-;12;8;-;-;-;-;7;1;1;1120
"28 Sergipe";175;457;1;24;2;44;18;1;-;16;-;-;-;-;-;-;-;-;-;-;-;2;3;-;-;-;-;-;-;-;-;4;1;-;-;-;-;1;-;-;11;1;-;-;-;-;-;-;-;761
"29 Bahia";1037;2690;14;299;14;351;111;16;-;19;-;-;-;-;-;5;-;-;7;-;-;44;48;-;-;-;-;-;-;1;-;2;2;-;-;2;4;5;1;-;12;15;-;-;4;3;1;-;1;4708
"31 Minas Gerais";2243;2630;758;48;18;482;215;9;-;5;1;-;-;-;-;9;-;1;8;3;1;70;39;1;10;-;-;-;2;1;-;7;-;-;-;2;13;3;1;1;253;6;1;-;14;5;5;8;10;6883
"32 Esp�rito Santo";323;436;3;73;10;25;12;5;-;5;-;-;-;-;-;17;-;-;10;-;-;-;-;-;1;-;-;-;1;5;-;5;-;-;-;1;2;-;-;-;1;-;-;-;2;-;2;-;-;939
"33 Rio de Janeiro";1473;1038;159;112;5;204;10;1;-;5;1;-;-;-;-;19;-;-;7;-;-;65;39;1;-;-;-;-;162;42;24;82;21;1;-;4;7;12;-;-;-;4;-;-;-;-;-;-;2;3500
