"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";246;145;2;26;1;17;4;-;9;1;-;-;-;-;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;8;-;4;1;-;478
"12 Acre";81;136;1;20;-;21;4;-;10;2;-;6;6;1;-;-;2;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;-;-;-;3;-;1;302
"13 Amazonas";282;363;40;55;-;66;10;-;40;2;-;7;54;-;13;9;-;-;26;1;-;11;5;-;-;-;-;-;-;-;-;1;-;-;6;1;-;1;-;-;2;-;-;1;4;2;3;-;1;1006
"14 Roraima";67;54;11;-;-;9;5;-;21;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;172
"15 Par�";653;839;30;341;1;141;16;-;20;5;-;29;22;-;5;2;-;-;2;-;-;23;24;-;-;-;-;-;5;-;-;1;-;-;2;1;1;1;-;-;5;7;-;1;-;-;7;-;3;2187
"16 Amap�";60;112;5;1;1;18;3;-;-;1;-;1;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;1;212
"17 Tocantins";100;392;18;5;-;33;26;-;3;4;-;-;-;-;-;-;-;-;-;-;-;5;3;2;12;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;90;-;-;-;24;-;2;-;-;722
"21 Maranh�o";684;1457;26;73;-;223;31;-;9;10;-;-;3;-;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;3;-;2;-;-;-;-;-;2;-;-;10;3;1;3;7;5;2;6;1;2583
"22 Piau�";87;1201;44;7;-;103;55;-;-;6;-;-;-;-;-;-;-;-;-;-;-;4;12;-;-;-;-;-;-;-;-;2;1;-;-;-;1;-;-;-;102;9;1;3;1;-;1;3;-;1643
"23 Cear�";678;1651;147;140;-;268;38;15;-;103;3;-;-;-;-;-;-;-;-;-;-;23;23;2;4;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;1;10;-;-;5;3;8;-;2;3127
"24 Rio Grande do Norte";96;952;7;5;-;89;40;-;-;10;-;-;-;-;-;-;-;-;-;-;-;11;9;-;-;-;-;-;5;5;-;7;9;-;-;-;5;-;-;-;55;2;-;-;3;1;1;3;2;1317
"25 Para�ba";105;1314;18;11;7;152;54;3;-;11;-;-;-;-;-;-;-;-;-;-;-;13;18;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;81;10;-;-;3;-;-;-;-;1805
"26 Pernambuco";548;1722;52;187;-;252;29;21;-;23;2;-;-;-;-;-;-;-;-;-;-;32;20;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;5;4;-;3;3;1;2;-;19;2931
"27 Alagoas";167;688;24;18;-;106;27;11;-;4;-;-;-;-;-;-;-;-;-;-;-;21;21;-;-;-;-;-;-;-;-;-;1;-;-;-;6;-;-;-;12;8;-;-;-;-;7;1;1;1123
"28 Sergipe";162;452;1;35;2;44;18;1;-;23;-;-;-;-;-;-;-;-;-;-;-;2;3;-;-;-;-;-;-;-;-;4;1;-;-;-;-;1;-;-;11;1;-;-;-;-;-;-;-;761
"29 Bahia";1043;2683;14;301;14;352;109;16;-;14;-;-;-;-;-;5;-;-;7;-;-;44;48;-;-;-;-;-;-;1;-;2;2;-;-;2;4;5;1;-;12;15;-;-;4;3;1;-;1;4703
"31 Minas Gerais";2243;2636;758;47;18;479;217;9;-;3;1;-;-;-;-;9;-;1;8;3;1;71;41;1;10;-;-;-;2;1;-;7;-;-;-;2;13;3;1;1;252;6;1;-;14;5;5;8;10;6887
