"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";241;143;3;25;1;17;4;-;9;2;-;-;-;-;-;-;-;-;-;-;-;7;3;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;1;-;-;-;5;-;4;1;-;469
"12 Acre";80;137;1;20;-;20;4;-;6;3;-;5;6;1;-;-;3;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;-;-;-;3;-;1;298
"13 Amazonas";284;375;43;57;-;59;9;-;40;2;-;10;37;-;9;9;-;-;26;1;-;11;5;-;-;-;-;-;-;1;-;1;-;-;3;1;-;1;-;-;2;-;-;1;4;2;3;-;1;997
"14 Roraima";65;53;11;-;-;8;6;-;18;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;166
"15 Par�";638;813;25;336;1;123;15;-;17;1;-;24;20;2;2;2;-;-;3;-;-;20;19;-;-;-;-;-;6;-;-;1;-;-;-;-;1;1;-;-;4;4;-;1;-;-;5;1;2;2087
"16 Amap�";53;103;5;6;1;15;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;1;196
"17 Tocantins";104;378;16;6;-;27;25;-;3;5;-;-;-;-;-;-;-;-;-;-;-;5;3;1;15;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2;89;-;-;-;19;2;2;-;-;704
"21 Maranh�o";705;1419;25;72;-;205;28;-;9;10;-;-;3;-;-;-;-;-;-;-;-;11;11;-;-;-;-;-;1;2;-;1;-;-;-;-;-;2;1;-;10;3;1;4;7;3;2;5;1;2541
"22 Piau�";88;1207;44;10;-;100;57;-;-;6;-;-;-;-;-;-;-;-;-;-;-;4;12;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;102;9;1;3;1;-;1;3;-;1649
"23 Cear�";701;1639;145;124;1;265;38;19;-;92;3;-;-;-;-;-;-;-;-;-;-;23;22;1;9;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;1;9;-;-;3;3;6;-;2;3109
"24 Rio Grande do Norte";95;969;7;7;-;85;40;-;-;8;-;-;-;-;-;-;-;-;-;-;-;11;9;-;-;-;-;-;4;4;-;4;4;-;-;-;5;-;1;-;58;2;-;-;3;1;1;3;2;1323
"25 Para�ba";116;1305;19;10;7;149;54;3;-;4;-;-;-;-;-;-;-;-;-;-;-;13;17;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;77;10;-;-;3;-;-;-;-;1792
"26 Pernambuco";578;1718;55;172;-;251;28;21;-;7;1;-;-;-;-;-;-;-;-;-;-;32;20;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;5;4;-;3;-;1;2;-;19;2923
"27 Alagoas";178;678;24;19;-;103;28;11;-;5;-;-;-;-;-;-;-;-;-;-;-;21;19;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;12;6;-;-;-;-;8;1;-;1119
"28 Sergipe";170;461;1;32;2;38;18;1;-;10;-;-;-;-;-;-;-;-;-;-;-;2;3;-;-;-;-;-;-;-;-;4;1;-;-;-;-;1;-;-;8;1;-;-;-;-;-;-;-;753
"29 Bahia";1073;2634;14;302;17;331;109;16;-;12;-;-;-;-;-;6;-;-;7;-;-;46;45;-;1;-;-;-;1;3;-;3;3;-;-;2;4;5;-;-;13;15;-;-;1;1;1;-;1;4666
"31 Minas Gerais";2216;2606;760;54;20;471;207;8;-;1;-;-;-;-;-;5;-;1;7;1;1;71;42;1;11;1;-;-;6;8;1;8;3;-;-;4;12;2;1;2;249;6;1;-;14;5;4;7;4;6821
"32 Esp�rito Santo";337;429;2;68;11;23;12;5;-;5;-;-;-;-;-;17;-;-;10;-;-;-;-;-;1;-;-;-;1;6;-;3;1;-;-;1;2;-;-;-;1;-;-;-;2;-;2;-;-;939
"33 Rio de Janeiro";1492;1046;167;93;5;201;10;1;-;4;2;-;-;-;-;20;-;-;7;-;-;60;36;2;-;-;-;-;150;40;21;70;20;9;-;2;6;13;-;-;-;4;-;1;-;-;-;-;2;3484
"35 S�o Paulo";3047;2038;214;390;50;330;68;4;-;17;5;-;-;-;-;165;22;4;120;4;-;186;81;16;11;6;4;1;118;47;17;56;15;3;-;12;12;33;5;-;133;9;-;-;11;1;15;2;2;7274
"41 Paran�";1089;981;335;165;2;141;79;2;-;6;-;-;-;-;-;8;1;-;45;5;-;21;11;8;2;2;-;-;19;6;3;15;7;5;-;4;7;2;4;1;96;1;-;-;2;1;-;1;2;3079
"42 Santa Catarina";767;991;54;53;1;117;61;2;-;-;-;-;-;-;-;4;-;-;2;1;-;10;6;3;1;-;-;-;3;4;-;5;1;-;-;3;1;-;1;-;118;3;-;-;11;2;2;2;7;2236
"43 Rio Grande do Sul";1081;969;52;135;1;72;41;9;-;7;2;-;-;-;-;12;10;1;10;1;-;30;10;3;9;-;-;-;10;15;-;36;14;3;-;2;4;2;15;-;100;3;-;2;6;2;22;2;4;2697
"50 Mato Grosso do Sul";36;541;20;76;2;32;27;19;-;4;-;-;-;-;-;-;-;-;3;-;-;7;6;-;-;-;-;-;-;2;-;-;4;-;-;-;2;1;1;-;14;2;-;-;21;7;7;4;3;841
"51 Mato Grosso";213;465;56;71;7;25;25;-;13;2;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;38;1;-;-;-;-;-;1;-;923
"52 Goi�s";356;1016;85;19;4;90;41;1;-;-;-;-;-;-;-;-;-;-;-;-;-;28;26;1;3;-;-;-;2;1;1;-;4;-;-;5;-;3;-;-;104;8;-;-;29;7;5;1;-;1840
"53 Distrito Federal";231;120;-;9;-;13;-;-;-;1;-;-;-;-;-;1;2;-;-;2;-;14;9;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;4;2;-;5;416
"Total";16034;25234;2183;2331;133;3311;1037;122;115;214;13;39;68;3;11;249;38;6;240;15;1;641;420;36;63;9;4;1;321;141;43;209;77;20;3;42;74;71;29;5;1243;100;3;15;142;42;97;34;60;55342
