"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";244;140;2;24;1;16;4;-;9;2;-;-;-;-;-;-;-;-;-;-;-;7;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;8;-;4;1;-;468
"12 Acre";78;138;1;20;-;20;4;-;9;2;-;6;6;1;-;-;2;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;-;-;-;3;-;1;299
"13 Amazonas";286;366;42;55;-;62;10;-;39;2;-;11;41;-;12;9;-;-;26;1;-;11;5;-;-;-;-;-;-;-;-;1;-;-;5;1;-;1;-;-;2;-;-;1;4;2;3;-;1;999
"14 Roraima";61;56;10;-;-;9;4;-;32;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;177
"15 Par�";645;829;30;343;1;135;15;-;17;-;-;28;24;1;4;2;-;-;2;-;-;21;20;-;-;-;-;-;5;-;-;1;-;-;2;-;1;1;-;-;5;4;-;1;-;-;5;-;3;2145
"16 Amap�";59;112;5;3;1;18;3;-;-;2;-;1;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;1;214
"17 Tocantins";100;385;18;4;-;33;25;-;3;8;-;-;-;-;-;-;-;-;-;-;-;5;3;2;14;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;90;-;-;-;24;-;2;-;-;719
"21 Maranh�o";693;1433;26;73;-;208;30;-;9;9;-;-;3;-;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;3;-;2;-;-;-;-;-;2;-;-;10;3;1;3;7;5;2;6;1;2551
"22 Piau�";87;1203;44;8;-;104;55;-;-;6;-;-;-;-;-;-;-;-;-;-;-;4;12;-;-;-;-;-;-;-;-;2;2;-;-;-;1;-;-;-;102;9;1;3;1;-;1;3;-;1648
"23 Cear�";689;1639;146;137;-;266;36;15;-;99;4;-;-;-;-;-;-;-;-;-;-;23;22;2;5;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;1;9;-;-;5;3;8;-;2;3114
"24 Rio Grande do Norte";98;942;8;5;-;86;39;-;-;13;-;-;-;-;-;-;-;-;-;-;-;11;9;-;-;-;-;-;5;5;-;7;10;-;-;-;5;-;-;-;56;2;-;-;3;1;-;3;2;1310
"25 Para�ba";110;1313;18;10;7;153;54;3;-;11;-;-;-;-;-;-;-;-;-;-;-;13;17;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;79;10;-;-;3;-;-;-;-;1806
"26 Pernambuco";570;1735;53;173;-;248;29;20;-;12;2;-;-;-;-;-;-;-;-;-;-;32;20;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;5;4;-;3;3;1;2;-;19;2937
"27 Alagoas";172;681;24;20;-;103;28;11;-;5;-;-;-;-;-;-;-;-;-;-;-;21;20;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;12;7;-;-;-;-;8;1;-;1119
"28 Sergipe";159;448;1;40;2;42;18;1;-;23;-;-;-;-;-;-;-;-;-;-;-;2;3;-;-;-;-;-;-;-;-;4;1;-;-;-;-;1;-;-;11;1;-;-;-;-;-;-;-;757
"29 Bahia";1064;2654;14;309;14;339;109;16;-;15;-;-;-;-;-;5;-;-;7;-;-;39;44;-;-;-;-;-;-;1;-;1;3;-;-;2;4;5;-;-;12;15;-;-;3;3;1;-;1;4680
"31 Minas Gerais";2240;2633;759;50;18;479;213;9;-;1;-;-;-;-;-;9;-;1;8;2;1;71;42;1;10;-;-;-;3;3;-;7;2;-;-;2;13;2;1;2;253;6;1;-;14;5;5;7;9;6882
