"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";240;142;4;27;1;17;4;-;9;2;-;-;-;-;-;-;-;-;-;-;-;7;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;5;-;4;1;-;469
"12 Acre";80;137;1;20;-;19;5;-;7;1;-;5;6;1;-;-;3;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;-;-;-;3;-;1;297
"13 Amazonas";288;376;43;56;-;59;9;-;40;1;-;10;35;-;8;8;-;-;26;1;-;11;5;-;-;-;-;-;-;1;-;-;-;-;3;1;-;1;-;-;2;-;-;1;4;2;3;-;1;995
"14 Roraima";64;52;11;-;-;8;5;-;18;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;162
"15 Par�";648;805;24;339;1;118;14;-;17;1;-;24;22;1;4;2;-;-;1;-;-;20;20;-;-;-;-;-;5;-;-;2;-;-;-;-;1;1;1;-;3;4;-;1;-;-;7;1;2;2089
"16 Amap�";57;96;5;-;1;12;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;1;182
"17 Tocantins";108;377;16;7;-;30;23;-;4;7;-;-;-;-;-;-;-;-;-;-;-;4;3;-;11;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2;85;-;-;-;20;1;2;-;-;702
"21 Maranh�o";714;1413;25;72;-;205;28;-;9;3;-;-;3;-;-;-;-;-;-;-;-;11;11;-;-;-;-;-;1;2;-;1;-;-;-;-;-;2;1;-;9;3;1;4;7;3;2;5;1;2536
"22 Piau�";93;1205;46;9;-;97;59;-;-;3;-;-;-;-;-;-;-;-;-;-;-;4;12;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;103;9;1;2;1;-;1;3;-;1649
"23 Cear�";726;1671;145;101;1;261;38;19;-;51;1;-;-;-;-;-;-;-;-;-;-;22;22;2;15;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;9;-;-;3;3;4;-;4;3102
"24 Rio Grande do Norte";97;973;7;7;-;83;41;-;-;5;-;-;-;-;-;-;-;-;-;-;-;11;9;-;-;-;-;-;2;3;-;1;-;-;-;-;5;-;1;-;58;2;-;-;3;1;1;3;2;1315
"25 Para�ba";116;1302;19;10;7;152;52;3;-;8;-;-;-;-;-;-;-;-;-;-;-;12;17;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;77;9;-;-;3;-;-;-;-;1792
"26 Pernambuco";561;1735;56;173;-;247;28;21;-;6;1;-;-;-;-;-;-;-;-;-;-;30;19;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;4;4;-;1;-;1;2;-;19;2914
"27 Alagoas";179;674;24;21;-;101;29;11;-;4;-;-;-;-;-;-;-;-;-;-;-;17;16;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;12;5;-;-;-;-;8;1;-;1108
"28 Sergipe";172;465;1;29;2;37;14;1;-;4;-;-;-;-;-;-;-;-;-;-;-;2;3;-;-;-;-;-;-;-;-;5;1;-;-;-;-;1;-;-;8;1;-;-;-;-;-;-;-;746
"29 Bahia";1082;2626;14;305;17;322;108;16;-;7;-;-;-;-;-;6;-;-;7;-;-;45;45;-;1;-;-;-;2;2;-;2;1;-;-;2;3;5;-;-;13;15;-;-;1;1;1;-;1;4650
"31 Minas Gerais";2245;2567;757;53;23;469;204;8;-;1;-;-;-;-;-;5;-;1;7;1;1;60;34;1;21;1;-;-;6;9;2;8;3;-;-;4;12;2;1;1;247;5;1;-;14;5;4;7;4;6794
