"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";239;140;3;29;1;17;4;-;9;4;-;-;-;-;-;-;-;-;-;-;-;7;3;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;1;-;-;-;5;-;4;1;-;470
"12 Acre";82;137;1;18;-;20;4;-;7;2;-;5;6;1;-;-;3;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;-;-;-;3;-;1;298
"13 Amazonas";281;378;41;57;-;59;9;-;41;2;-;10;39;1;10;8;-;-;26;1;-;11;5;-;-;-;-;-;-;1;-;1;-;-;3;1;-;1;-;-;2;-;-;1;4;2;3;-;1;999
"14 Roraima";66;55;10;-;-;8;6;-;18;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;168
"15 Par�";632;821;25;339;1;130;15;-;17;1;-;24;20;1;3;2;-;-;3;-;-;21;20;-;-;-;-;-;6;-;-;1;-;-;-;-;1;1;-;-;6;4;-;1;-;-;5;-;2;2102
"16 Amap�";53;104;5;3;1;14;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;1;193
"17 Tocantins";98;384;18;6;-;33;25;-;3;5;-;-;-;-;-;-;-;-;-;-;-;5;3;2;14;-;-;-;-;1;-;-;-;-;-;1;-;-;-;2;90;-;-;-;21;2;2;-;-;715
"21 Maranh�o";710;1410;25;74;-;202;29;-;9;11;-;-;3;-;-;-;-;-;-;-;-;10;11;-;-;-;-;-;1;2;-;2;-;-;-;-;-;2;1;-;10;3;1;4;7;4;2;5;1;2539
"22 Piau�";85;1204;42;12;-;103;55;-;-;5;-;-;-;-;-;-;-;-;-;-;-;4;12;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;102;9;1;3;1;-;1;3;-;1643
"23 Cear�";677;1646;146;133;1;267;37;19;-;110;2;-;-;-;-;-;-;-;-;-;-;23;22;1;4;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;1;9;-;-;4;3;9;-;1;3118
"24 Rio Grande do Norte";90;954;8;7;-;85;40;-;-;11;-;-;-;-;-;-;-;-;-;-;-;11;9;-;-;-;-;-;5;5;-;5;8;-;-;-;5;-;-;-;57;2;-;-;4;1;1;3;2;1313
"25 Para�ba";110;1293;18;16;7;150;54;3;-;16;-;-;-;-;-;-;-;-;-;-;-;12;17;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;78;10;-;-;3;-;-;-;-;1792
"26 Pernambuco";566;1719;53;187;-;253;29;20;-;21;2;-;-;-;-;-;-;-;-;-;-;32;20;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;5;4;-;3;-;1;2;-;19;2942
"27 Alagoas";176;680;24;20;-;102;28;11;-;5;-;-;-;-;-;-;-;-;-;-;-;19;19;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;11;6;-;-;-;-;8;1;-;1116
"28 Sergipe";161;458;1;39;2;40;20;1;-;15;-;-;-;-;-;-;-;-;-;-;-;2;3;-;-;-;-;-;-;-;-;4;1;-;-;-;-;1;-;-;9;1;-;-;-;-;-;-;-;758
"29 Bahia";1066;2619;14;300;17;333;110;16;-;15;-;-;-;-;-;6;-;-;7;-;-;47;45;-;-;-;-;-;1;3;-;2;4;-;-;2;4;5;-;-;13;15;-;-;1;1;1;-;1;4648
"31 Minas Gerais";2232;2618;759;49;18;472;212;9;-;2;-;-;-;-;-;7;-;1;8;2;1;71;41;1;10;1;-;-;5;8;-;8;3;-;-;3;13;2;1;2;250;6;1;-;13;5;4;7;7;6852
