"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";240;139;2;32;2;17;4;-;8;6;-;-;-;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;8;-;4;1;-;477
"12 Acre";82;131;1;18;-;21;4;-;7;4;-;6;6;1;-;-;2;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;-;-;-;3;-;1;295
"13 Amazonas";263;376;43;53;-;70;10;-;32;4;-;8;61;-;13;1;-;-;-;-;11;5;-;-;-;-;-;-;-;-;-;-;-;6;1;-;1;-;-;2;-;-;-;4;2;3;-;1;970
"14 Roraima";61;59;11;-;-;9;4;-;21;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;170
"15 Par�";629;836;30;357;1;149;16;-;16;7;-;38;20;-;5;2;-;-;2;-;28;25;-;-;-;-;-;2;-;-;1;-;-;2;1;1;1;-;-;5;7;-;1;-;-;8;-;2;2192
"16 Amap�";60;109;4;-;1;17;3;-;-;1;-;1;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;1;206
"17 Tocantins";92;390;18;10;-;33;26;-;2;8;-;-;-;-;-;-;-;-;-;-;4;2;1;10;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;90;-;-;-;26;-;2;-;-;717
"21 Maranh�o";692;1440;26;81;-;222;32;-;9;29;-;-;3;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;2;-;1;-;-;-;-;-;2;-;-;8;3;1;3;7;4;2;5;1;2595
"22 Piau�";86;1197;44;10;-;104;54;-;-;7;-;-;-;-;-;-;-;-;-;-;4;13;-;-;-;-;-;-;-;-;1;3;-;-;-;1;-;-;-;102;10;1;3;1;1;1;3;-;1646
"23 Cear�";679;1597;143;165;-;268;38;14;-;140;3;-;-;-;-;-;-;-;-;-;24;23;2;4;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;10;-;-;3;1;11;2;3;3134
"24 Rio Grande do Norte";96;939;6;9;-;87;41;-;-;18;-;-;-;-;-;-;-;-;-;-;11;9;-;-;-;-;-;5;4;-;7;9;-;-;-;5;-;-;-;54;2;-;-;3;1;1;4;3;1314
"25 Para�ba";111;1317;18;11;7;154;56;3;-;11;-;-;-;-;-;-;-;-;-;-;13;18;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;80;10;-;-;3;1;-;-;-;1818
"26 Pernambuco";530;1735;53;189;-;251;29;22;-;33;1;-;-;-;-;-;-;-;-;-;32;20;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;5;4;-;3;3;1;2;-;19;2938
"27 Alagoas";163;682;24;17;-;107;28;9;-;12;-;-;-;-;-;-;-;-;-;-;21;24;-;-;-;-;-;-;-;-;-;1;-;-;-;6;-;-;-;11;12;-;-;-;-;7;1;1;1126
"28 Sergipe";157;447;1;39;2;46;18;1;-;29;-;-;-;-;-;-;-;-;-;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;11;1;-;-;-;-;-;-;-;758
"29 Bahia";1019;2677;14;325;13;354;109;16;-;35;-;-;-;-;-;5;-;-;7;-;42;48;-;-;-;-;-;-;1;-;1;1;-;-;2;3;5;1;-;12;15;-;-;4;3;1;-;2;4715
"31 Minas Gerais";2229;2622;766;59;18;480;218;9;-;6;1;-;-;-;-;10;-;1;8;4;71;41;1;9;-;-;-;1;1;-;7;-;-;-;2;13;3;1;1;252;6;2;-;15;5;5;8;9;6884
