"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";232;148;4;27;1;17;4;-;9;2;-;-;-;-;-;-;-;-;-;-;-;7;3;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;1;-;-;-;5;-;4;1;-;468
"12 Acre";82;136;1;18;-;19;5;-;8;2;-;5;6;1;-;-;3;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;-;-;-;3;-;1;298
"13 Amazonas";289;374;43;57;-;59;9;-;40;1;-;10;37;-;8;8;-;-;26;1;-;11;5;-;-;-;-;-;-;1;-;1;-;-;3;1;-;1;-;-;2;-;-;1;4;2;3;-;1;998
"14 Roraima";64;53;11;-;-;8;6;-;18;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;165
"15 Par�";659;811;27;324;1;121;15;-;17;-;-;23;20;2;4;2;-;-;3;-;-;20;20;-;-;-;-;-;6;-;-;1;-;-;-;-;1;1;-;-;4;4;-;1;-;-;5;1;2;2095
"16 Amap�";54;103;5;2;1;12;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;1;190
"17 Tocantins";107;378;15;6;-;28;25;-;4;6;-;-;-;-;-;-;-;-;-;-;-;4;3;-;11;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2;85;-;-;-;20;2;2;-;-;700
"21 Maranh�o";712;1416;25;71;-;206;28;-;9;6;-;-;3;-;-;-;-;-;-;-;-;11;11;-;-;-;-;-;1;2;-;1;-;-;-;-;-;2;1;-;9;3;1;4;7;3;2;5;1;2540
"22 Piau�";88;1203;45;10;-;101;57;-;-;7;-;-;-;-;-;-;-;-;-;-;-;4;12;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;101;9;1;3;1;-;1;3;-;1647
"23 Cear�";726;1663;148;109;1;266;37;19;-;55;-;-;-;-;-;-;-;-;-;-;-;23;22;2;13;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;1;9;-;-;3;3;6;-;2;3111
"24 Rio Grande do Norte";96;970;7;7;-;84;40;-;-;9;-;-;-;-;-;-;-;-;-;-;-;11;9;-;-;-;-;-;2;3;-;4;3;-;-;-;5;-;1;-;58;2;-;-;3;1;1;3;2;1321
"25 Para�ba";115;1310;19;10;7;153;53;3;-;4;-;-;-;-;-;-;-;-;-;-;-;12;16;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;77;10;-;-;3;-;-;-;-;1797
"26 Pernambuco";581;1725;53;172;-;251;28;21;-;7;1;-;-;-;-;-;-;-;-;-;-;32;20;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;4;4;-;2;-;1;2;-;19;2929
"27 Alagoas";176;679;24;20;-;102;27;11;-;3;-;-;-;-;-;-;-;-;-;-;-;19;18;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;12;6;-;-;-;-;8;1;-;1112
"28 Sergipe";171;464;1;31;2;38;17;1;-;7;-;-;-;-;-;-;-;-;-;-;-;2;3;-;-;-;-;-;-;-;-;5;1;-;-;-;-;1;-;-;7;1;-;-;-;-;-;-;-;752
"29 Bahia";1081;2629;14;300;17;325;108;16;-;8;-;-;-;-;-;6;-;-;7;-;-;46;45;-;1;-;-;-;1;3;-;3;3;-;-;2;4;5;-;-;13;15;-;-;1;1;1;-;1;4656
"31 Minas Gerais";2219;2608;758;52;23;467;203;8;-;2;-;-;-;-;-;5;-;1;7;1;1;63;36;1;12;1;-;-;6;9;1;8;3;-;-;4;12;2;1;1;247;6;1;-;13;5;4;7;4;6802
