"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";249;140;2;26;1;17;4;-;9;3;-;-;-;-;-;-;-;-;-;-;-;7;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;5;-;4;1;-;474
"12 Acre";79;138;1;19;-;20;4;-;7;2;-;6;6;1;-;-;2;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;-;-;-;3;-;1;297
"13 Amazonas";280;375;41;55;-;59;9;-;40;3;-;10;39;-;10;9;-;-;26;1;-;11;5;-;-;-;-;-;-;1;-;1;-;-;3;1;-;1;-;-;2;-;-;1;4;2;3;-;1;993
"14 Roraima";62;56;10;-;-;8;6;-;18;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;165
"15 Par�";653;837;30;326;1;134;15;-;17;-;-;26;21;1;4;2;-;-;3;-;-;21;20;-;-;-;-;-;5;-;-;1;-;-;-;-;1;1;-;-;5;4;-;1;-;-;6;-;2;2137
"16 Amap�";63;106;5;-;1;16;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;1;205
"17 Tocantins";99;383;18;6;-;33;25;-;3;8;-;-;-;-;-;-;-;-;-;-;-;5;3;2;14;-;-;-;-;1;-;-;-;-;-;1;-;-;-;2;90;-;-;-;22;1;2;-;-;718
"21 Maranh�o";703;1418;25;76;-;204;29;-;9;13;-;-;3;-;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;1;-;2;-;-;-;-;-;2;1;-;10;3;1;4;7;5;2;6;1;2547
"22 Piau�";83;1197;45;14;-;101;55;-;-;7;-;-;-;-;-;-;-;-;-;-;-;4;12;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;102;9;1;3;1;-;1;3;-;1639
"23 Cear�";679;1627;142;141;-;269;37;19;-;119;6;-;-;-;-;-;-;-;-;-;-;23;22;2;5;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;1;9;-;-;5;3;8;-;2;3122
"24 Rio Grande do Norte";94;950;8;6;-;83;40;-;-;14;-;-;-;-;-;-;-;-;-;-;-;10;8;-;-;-;-;-;5;5;-;5;8;-;-;-;5;-;-;-;57;2;-;-;4;-;-;3;2;1309
"25 Para�ba";107;1291;19;14;7;149;54;3;-;19;-;-;-;-;-;-;-;-;-;-;-;12;17;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;78;10;-;-;3;-;-;-;-;1788
"26 Pernambuco";554;1714;52;190;-;247;29;20;-;23;2;-;-;-;-;-;-;-;-;-;-;32;20;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;5;4;-;3;2;1;2;-;19;2925
"27 Alagoas";174;678;24;19;-;103;28;11;-;5;-;-;-;-;-;-;-;-;-;-;-;19;20;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;11;7;-;-;-;-;8;1;-;1114
"28 Sergipe";158;451;1;45;2;40;20;1;-;19;-;-;-;-;-;-;-;-;-;-;-;2;3;-;-;-;-;-;-;-;-;4;1;-;-;-;-;1;-;-;11;1;-;-;-;-;-;-;-;760
"29 Bahia";1064;2612;14;314;17;333;110;16;-;26;-;-;-;-;-;5;-;-;7;-;-;37;39;-;-;-;-;-;-;3;-;2;4;-;-;2;4;5;-;-;13;15;-;-;1;1;1;-;1;4646
"31 Minas Gerais";2227;2622;761;49;18;473;216;9;-;5;-;-;-;-;-;7;-;1;10;3;1;72;42;1;10;1;-;-;6;8;-;7;3;-;-;2;13;2;1;2;254;6;1;-;14;5;4;7;9;6872
