"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";248;140;2;25;1;16;4;-;9;2;-;-;-;-;-;-;-;-;-;-;-;7;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;7;-;4;1;-;472
"12 Acre";79;138;1;18;-;20;4;-;7;2;-;6;6;1;-;-;2;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;-;-;-;2;-;1;295
"13 Amazonas";284;375;41;55;-;59;9;-;40;2;-;11;39;-;11;9;-;-;26;1;-;11;5;-;-;-;-;-;-;-;-;1;-;-;3;1;-;1;-;-;2;-;-;1;4;2;3;-;1;997
"14 Roraima";62;53;10;-;-;9;5;-;30;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;174
"15 Par�";629;833;23;332;1;135;15;-;17;1;-;28;24;1;3;2;-;-;2;-;-;20;19;-;-;-;-;-;5;-;-;1;-;-;2;-;1;1;-;-;5;4;-;1;-;-;6;-;3;2114
"16 Amap�";63;106;5;3;1;18;3;-;-;2;-;1;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;1;212
"17 Tocantins";99;383;18;5;-;33;25;-;3;8;-;-;-;-;-;-;-;-;-;-;-;5;3;2;14;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;90;-;-;-;23;-;2;-;-;716
"21 Maranh�o";702;1422;26;75;-;204;30;-;9;10;-;-;3;-;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;1;-;2;-;-;-;-;-;2;1;-;10;3;1;3;7;5;2;6;1;2547
"22 Piau�";86;1205;44;11;-;104;54;-;-;6;-;-;-;-;-;-;-;-;-;-;-;4;12;-;-;-;-;-;-;-;-;2;1;-;-;-;1;-;-;-;102;9;1;3;1;-;1;3;-;1650
"23 Cear�";690;1638;141;137;-;268;37;19;-;102;6;-;-;-;-;-;-;-;-;-;-;23;22;2;5;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;1;9;-;-;5;3;8;-;2;3121
"24 Rio Grande do Norte";95;946;8;7;-;84;39;-;-;15;-;-;-;-;-;-;-;-;-;-;-;10;8;-;-;-;-;-;4;4;-;6;9;-;-;-;5;-;-;-;57;2;-;-;4;1;-;3;2;1309
"25 Para�ba";107;1296;19;14;7;153;54;3;-;16;-;-;-;-;-;-;-;-;-;-;-;12;17;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;77;10;-;-;3;-;-;-;-;1793
"26 Pernambuco";570;1730;51;177;-;247;29;19;-;12;2;-;-;-;-;-;-;-;-;-;-;32;20;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;5;4;-;3;2;1;2;-;18;2930
"27 Alagoas";173;681;24;20;-;103;28;11;-;4;-;-;-;-;-;-;-;-;-;-;-;21;20;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;12;7;-;-;-;-;8;1;-;1119
"28 Sergipe";159;449;1;44;2;41;19;1;-;19;-;-;-;-;-;-;-;-;-;-;-;2;3;-;-;-;-;-;-;-;-;4;1;-;-;-;-;1;-;-;11;1;-;-;-;-;-;-;-;758
"29 Bahia";1066;2633;14;312;14;332;109;16;-;20;-;-;-;-;-;5;-;-;7;-;-;34;38;-;-;-;-;-;-;3;-;2;4;-;-;2;4;5;-;-;12;15;-;-;3;3;1;-;1;4655
"31 Minas Gerais";2238;2628;757;47;18;471;214;9;-;4;-;-;-;-;-;9;-;1;8;2;1;72;42;1;10;1;-;-;5;2;-;7;3;-;-;2;13;2;1;2;253;6;1;-;14;5;4;7;9;6869
