"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";238;146;2;27;2;16;4;-;9;1;-;-;-;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;2;-;-;-;8;-;4;1;-;473
"12 Acre";71;129;1;30;-;21;4;-;9;8;-;6;6;1;-;-;2;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;-;-;-;3;-;1;300
"13 Amazonas";272;368;43;55;-;69;10;-;38;4;-;8;62;-;13;1;-;-;-;-;10;5;-;-;-;-;-;-;-;-;-;-;-;6;1;-;1;-;-;2;-;-;-;4;2;3;-;1;978
"14 Roraima";68;55;11;-;-;9;5;-;21;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;174
"15 Par�";633;841;29;335;1;149;16;-;19;5;-;38;22;-;5;2;-;-;2;-;24;23;-;-;-;-;-;2;-;-;-;-;-;2;1;1;1;-;-;5;6;-;1;-;-;9;-;2;2174
"16 Amap�";61;110;5;-;1;18;3;-;-;1;-;1;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;1;210
"17 Tocantins";92;391;18;10;-;33;26;-;2;7;-;-;-;-;-;-;-;-;-;-;5;3;1;12;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;90;-;-;-;24;-;2;-;-;719
"21 Maranh�o";692;1454;26;76;-;221;32;-;9;14;-;-;3;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;2;-;2;-;-;-;-;-;2;-;-;9;3;1;3;7;5;2;5;1;2591
"22 Piau�";85;1200;44;10;-;103;54;-;-;6;-;-;-;-;-;-;-;-;-;-;4;13;-;-;-;-;-;-;-;-;1;2;-;-;-;1;-;-;-;102;10;1;3;1;1;1;3;-;1645
"23 Cear�";683;1631;143;162;-;269;38;14;-;102;3;-;-;-;-;-;-;-;-;-;23;23;2;4;-;-;-;1;-;-;1;-;-;-;-;2;-;-;-;1;10;-;-;3;1;9;2;3;3130
"24 Rio Grande do Norte";92;940;6;7;-;87;41;-;-;19;-;-;-;-;-;-;-;-;-;-;11;9;-;-;-;-;-;5;5;-;7;9;-;-;-;5;-;-;-;54;2;-;-;3;1;1;4;3;1311
"25 Para�ba";106;1314;18;10;7;154;56;3;-;13;-;-;-;-;-;-;-;-;-;-;13;17;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;81;9;-;-;3;-;-;-;-;1809
"26 Pernambuco";535;1727;52;191;-;253;29;22;-;35;2;-;-;-;-;-;-;-;-;-;32;20;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;5;4;-;3;3;1;2;-;20;2942
"27 Alagoas";166;689;24;16;-;106;27;9;-;5;-;-;-;-;-;-;-;-;-;-;21;22;-;-;-;-;-;-;-;-;-;1;-;-;-;6;-;-;-;12;9;-;-;-;-;7;1;1;1122
"28 Sergipe";166;451;1;29;2;46;18;1;-;22;-;-;-;-;-;-;-;-;-;-;2;3;-;-;-;-;-;-;-;-;4;1;-;-;-;-;1;-;-;11;1;-;-;-;-;-;-;-;759
"29 Bahia";1022;2699;14;306;14;356;109;16;-;25;-;-;-;-;-;5;-;-;7;-;44;48;-;-;-;-;-;-;1;-;1;1;-;-;2;3;5;1;-;12;15;-;-;4;3;1;-;1;4715
"31 Minas Gerais";2245;2618;755;55;18;476;218;9;-;6;1;-;-;-;-;9;-;1;8;4;71;41;1;10;-;-;-;1;1;-;7;-;-;-;2;13;3;1;1;251;6;1;-;14;5;5;8;10;6875
