"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";237;145;4;32;2;11;2;-;9;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;7;-;1;1;-;463
"12 Acre";85;131;1;18;-;18;4;-;8;1;-;5;6;1;-;-;3;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;2;-;1;290
"13 Amazonas";275;367;43;62;-;49;8;-;41;2;-;10;33;-;7;9;-;-;26;1;11;5;-;-;-;-;-;1;-;-;-;-;-;2;1;-;2;-;-;2;-;-;1;4;2;3;-;1;968
"14 Roraima";67;45;11;-;-;5;6;-;11;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;149
"15 Par�";598;750;25;397;1;97;13;-;13;1;-;21;16;1;3;2;-;-;1;-;19;20;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;-;1;4;-;1;-;-;5;1;2;1997
"16 Amap�";54;78;4;-;1;13;2;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;160
"17 Tocantins";108;368;16;7;-;29;21;-;5;5;-;-;-;-;-;-;-;-;-;-;4;3;1;13;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;79;-;-;-;19;1;2;-;-;682
"21 Maranh�o";739;1316;22;92;-;171;30;-;6;11;-;-;3;-;-;-;-;-;-;-;11;11;-;-;-;-;-;1;2;-;1;2;-;-;-;-;2;-;-;8;3;1;4;6;3;2;4;-;2451
"22 Piau�";95;1176;46;14;-;86;58;-;-;3;-;-;-;-;-;1;-;-;-;-;4;12;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;106;9;1;2;1;-;1;2;-;1618
"23 Cear�";753;1545;137;133;2;224;44;19;-;72;4;-;-;-;-;-;-;-;-;-;19;22;4;14;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;9;-;-;2;3;1;-;7;3017
"24 Rio Grande do Norte";97;960;7;5;-;79;39;-;-;7;-;-;-;-;-;-;-;-;-;-;10;9;-;1;-;-;-;1;2;-;1;4;-;-;-;5;-;-;-;57;2;-;-;3;1;1;2;2;1295
"25 Para�ba";107;1273;18;18;7;148;55;3;-;13;-;-;-;-;-;-;-;-;-;-;11;17;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;76;9;-;-;3;-;-;-;-;1763
"26 Pernambuco";587;1644;57;186;-;226;32;21;-;12;1;-;-;-;-;-;-;-;-;-;30;19;-;-;-;-;-;-;-;-;1;-;-;-;3;2;-;-;-;3;4;-;1;-;1;2;-;19;2851
"27 Alagoas";184;650;24;23;-;97;29;11;-;2;-;-;-;-;-;-;-;-;-;-;17;14;-;1;-;-;1;-;1;-;-;1;-;-;-;6;-;-;-;12;3;-;-;-;-;8;1;-;1085
"28 Sergipe";170;439;1;38;2;34;12;1;-;6;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5;2;-;-;-;-;1;-;-;6;1;-;-;-;-;-;-;-;719
"29 Bahia";1078;2448;15;352;16;281;106;16;-;25;-;-;-;-;-;4;-;-;6;-;43;45;-;1;-;-;-;1;1;-;4;1;-;-;2;2;5;-;-;9;15;-;-;-;1;1;-;1;4479
"31 Minas Gerais";2231;2364;693;61;28;379;183;8;-;4;-;-;-;-;-;4;-;-;11;-;59;34;1;21;2;-;-;6;9;1;8;1;-;-;3;11;1;-;-;227;6;1;-;14;5;4;7;1;6388
