"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";231;147;4;31;2;11;2;-;9;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;6;-;2;1;-;458
"12 Acre";85;132;1;18;-;17;4;-;9;-;-;5;6;1;-;-;4;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;1;292
"13 Amazonas";275;361;43;63;-;49;6;-;41;2;-;15;33;-;6;9;-;-;26;1;11;5;-;-;-;-;-;1;-;-;-;-;-;2;1;-;2;-;-;2;-;-;1;4;2;3;-;1;965
"14 Roraima";68;45;11;-;-;5;6;-;12;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;151
"15 Par�";594;744;26;398;1;98;12;-;12;1;-;21;16;1;3;2;-;-;1;-;19;20;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;1;4;-;1;-;-;5;1;2;1987
"16 Amap�";59;78;4;-;1;13;2;-;-;-;-;1;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;166
"17 Tocantins";109;367;16;9;-;29;21;-;5;3;-;-;-;-;-;-;-;-;-;-;4;3;1;13;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;77;-;-;-;18;1;2;-;-;679
"21 Maranh�o";737;1296;22;93;-;163;29;-;3;14;-;-;3;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;3;-;1;2;-;-;-;-;2;-;-;8;3;1;4;6;1;2;3;-;2418
"22 Piau�";91;1172;47;11;-;86;58;-;-;8;-;-;-;-;-;-;-;-;-;-;4;12;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;103;9;1;2;1;-;1;-;-;1607
"23 Cear�";755;1502;138;148;2;221;46;19;-;88;6;-;-;-;-;-;-;-;-;-;19;21;5;15;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;9;-;-;3;3;5;-;2;3010
"24 Rio Grande do Norte";102;956;6;6;-;76;38;-;-;5;-;-;-;-;-;-;-;-;-;-;9;8;-;1;-;-;-;1;2;-;1;4;-;-;-;4;-;-;-;57;2;-;-;3;1;1;2;2;1287
"25 Para�ba";112;1269;18;18;7;145;55;3;-;10;-;-;-;-;-;-;-;-;-;-;10;16;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;77;9;-;-;3;-;-;-;-;1757
"26 Pernambuco";585;1622;58;196;-;221;32;20;-;23;1;-;-;-;-;-;-;-;-;-;30;19;-;-;-;-;-;-;-;-;1;-;-;-;3;2;-;-;-;3;4;-;1;-;1;2;-;19;2843
"27 Alagoas";161;663;29;28;-;95;29;10;-;2;-;-;-;-;-;-;-;-;-;-;17;14;-;-;-;-;-;-;1;-;-;1;-;-;-;6;-;-;-;12;3;-;-;-;-;6;1;-;1078
"28 Sergipe";168;435;1;34;2;33;12;1;-;14;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5;2;-;-;-;-;1;-;-;6;1;-;-;-;-;-;-;-;716
"29 Bahia";1107;2394;16;364;17;274;103;15;-;23;-;-;-;-;-;4;-;-;7;-;43;46;-;1;-;-;-;1;-;-;5;1;-;-;2;2;5;-;-;9;15;-;-;-;1;1;-;1;4457
"31 Minas Gerais";2216;2359;701;64;28;379;178;8;-;5;-;-;-;-;-;4;-;-;11;-;59;34;1;22;1;-;-;5;5;1;8;2;-;-;4;10;1;-;-;222;6;1;-;14;5;4;5;-;6363
