"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";227;154;5;29;3;12;2;-;9;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;5;-;2;1;-;461
"12 Acre";87;126;1;18;-;17;4;-;9;3;-;5;6;1;-;-;5;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;1;292
"13 Amazonas";279;361;43;74;-;49;6;-;44;2;-;15;31;-;6;9;-;-;26;1;11;5;-;-;-;-;-;-;-;-;-;1;-;2;1;-;2;-;-;2;-;-;1;4;2;3;-;1;981
"14 Roraima";69;42;11;1;-;5;4;-;23;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;159
"15 Par�";589;734;26;393;1;91;11;-;13;1;-;22;15;1;3;2;-;-;1;-;18;19;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;4;-;1;-;-;4;1;2;1955
"16 Amap�";72;85;4;-;1;17;2;-;-;-;-;1;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;1;191
"17 Tocantins";110;352;16;8;-;26;21;-;5;6;-;-;-;-;-;-;-;-;-;-;4;3;2;13;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;75;-;-;-;21;-;2;-;-;665
"21 Maranh�o";745;1281;22;92;-;161;30;-;3;20;-;-;3;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;-;-;2;-;-;-;-;-;3;-;-;8;3;1;4;8;2;2;3;-;2415
"22 Piau�";105;1151;47;10;-;83;57;-;-;5;-;-;-;-;-;-;-;-;-;-;3;11;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;102;8;1;2;-;-;1;-;-;1587
"23 Cear�";784;1435;136;154;2;218;39;20;-;88;8;-;-;-;-;-;-;-;-;-;19;17;4;6;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;2;6;-;-;3;3;5;-;2;2954
"24 Rio Grande do Norte";104;936;5;6;-;76;36;-;-;4;-;-;-;-;-;-;-;-;-;-;10;9;-;-;-;-;-;1;2;-;1;1;-;-;-;4;-;2;-;54;2;-;-;2;1;2;2;2;1262
"25 Para�ba";121;1259;19;13;7;143;55;3;-;9;-;-;-;-;-;-;-;-;-;-;9;12;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;75;7;-;-;3;-;-;-;-;1740
"26 Pernambuco";590;1586;57;200;-;213;29;20;-;13;1;-;-;-;-;-;-;-;-;-;26;15;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;3;4;-;1;-;-;2;-;15;2779
"27 Alagoas";153;667;29;31;-;93;29;11;-;1;-;-;-;-;-;-;-;-;-;-;17;14;-;-;-;-;-;-;1;-;-;-;-;-;-;6;-;-;-;12;3;-;-;-;-;2;2;-;1071
"28 Sergipe";168;436;2;31;2;25;12;-;-;9;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;6;2;-;-;-;-;1;-;-;5;1;-;-;-;-;-;-;-;703
"29 Bahia";1129;2354;16;365;18;268;99;14;-;14;-;-;-;-;-;4;-;-;7;-;42;42;-;-;-;-;-;1;-;-;7;1;-;-;2;2;5;-;-;9;13;-;-;-;1;1;-;1;4415
"31 Minas Gerais";2225;2308;714;63;29;378;175;6;-;9;-;-;-;-;-;4;-;-;11;-;51;30;-;12;-;-;-;3;5;1;7;1;-;-;4;10;2;-;-;215;6;1;-;13;4;3;3;-;6293
