"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";228;154;5;30;2;12;2;-;9;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;6;-;2;1;-;463
"12 Acre";84;129;1;20;-;17;4;-;8;-;-;5;6;1;-;-;5;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;1;290
"13 Amazonas";280;364;43;69;-;50;6;-;43;2;-;16;31;-;6;9;-;-;26;1;11;5;-;-;-;-;-;-;-;-;-;1;-;2;1;-;2;-;-;2;-;-;1;4;2;3;-;1;981
"14 Roraima";69;45;11;1;-;5;4;-;32;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;171
"15 Par�";591;734;26;400;1;94;11;-;12;1;-;22;15;1;3;2;-;-;1;-;18;19;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;1;4;-;1;-;-;4;1;2;1968
"16 Amap�";71;87;4;-;1;17;2;-;-;-;-;1;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;1;192
"17 Tocantins";110;355;16;8;-;27;22;-;5;5;-;-;-;-;-;-;-;-;-;-;4;3;1;15;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;75;-;-;-;21;-;2;-;-;670
"21 Maranh�o";755;1281;21;81;-;160;29;-;3;20;-;-;3;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;1;-;1;-;-;-;-;-;2;-;-;8;3;1;4;7;2;2;3;-;2409
"22 Piau�";98;1163;47;12;-;85;57;-;-;4;-;-;-;-;-;-;-;-;-;-;4;12;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;103;9;1;2;-;-;1;-;-;1599
"23 Cear�";767;1451;139;165;2;221;42;20;-;107;7;-;-;-;-;-;-;-;-;-;19;19;4;9;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;8;-;-;3;3;5;-;2;2997
"24 Rio Grande do Norte";105;945;5;6;-;76;38;-;-;4;-;-;-;-;-;-;-;-;-;-;10;9;-;-;-;-;-;1;2;-;1;1;-;-;-;4;-;2;-;56;2;-;-;2;1;2;2;2;1276
"25 Para�ba";122;1263;19;15;7;142;54;3;-;6;-;-;-;-;-;-;-;-;-;-;9;14;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;77;9;-;-;3;-;-;-;-;1748
"26 Pernambuco";588;1608;54;205;-;220;31;20;-;20;3;-;-;-;-;-;-;-;-;-;29;18;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;3;4;-;1;-;-;2;-;19;2830
"27 Alagoas";157;663;29;28;-;91;29;11;-;2;-;-;-;-;-;-;-;-;-;-;17;14;-;-;-;-;-;-;1;-;-;-;-;-;-;6;-;-;-;12;3;-;-;-;-;6;1;-;1070
"28 Sergipe";166;440;2;34;2;30;13;1;-;10;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;5;2;-;-;-;-;1;-;-;6;1;-;-;-;-;-;-;-;716
"29 Bahia";1113;2377;16;367;17;276;104;15;-;16;-;-;-;-;-;4;-;-;7;-;44;45;-;-;-;-;-;1;-;-;6;1;-;-;2;2;5;-;-;9;15;-;-;-;1;1;-;1;4445
"31 Minas Gerais";2235;2330;705;63;29;381;173;7;-;11;-;-;-;-;-;4;-;-;11;-;55;31;1;9;-;-;-;5;3;2;7;4;-;-;4;10;2;-;-;218;6;1;-;12;4;3;3;-;6329
