"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";235;137;4;30;1;9;4;-;9;3;-;-;-;-;-;-;-;-;-;-;-;7;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;5;-;3;1;-;454
"12 Acre";82;133;1;18;-;19;5;-;7;3;-;5;6;1;-;-;3;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;-;-;-;3;-;1;295
"13 Amazonas";276;374;42;57;-;56;6;-;41;5;-;11;31;-;7;9;-;-;26;1;-;11;5;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;2;-;-;1;4;2;3;-;1;975
"14 Roraima";63;45;11;-;-;8;6;-;16;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;155
"15 Par�";654;775;23;361;1;112;14;-;17;2;-;25;20;1;5;2;-;-;1;-;-;19;19;-;-;-;-;-;2;-;-;-;-;-;-;-;1;1;-;-;3;4;-;1;1;-;7;1;2;2074
"16 Amap�";38;91;4;-;1;12;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;156
"17 Tocantins";105;375;16;8;-;29;24;-;5;6;-;-;-;-;-;-;-;-;-;-;-;4;3;-;12;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;81;-;-;-;18;1;2;-;-;691
"21 Maranh�o";727;1366;21;79;-;193;31;-;9;5;-;-;3;-;-;-;-;-;-;-;-;11;11;-;-;-;-;-;1;2;-;1;-;-;-;-;-;2;-;-;8;3;1;4;7;3;2;4;1;2495
"22 Piau�";92;1164;46;13;-;91;59;-;-;8;-;-;-;-;-;1;-;-;-;-;-;4;12;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;105;9;1;2;1;-;1;3;-;1613
"23 Cear�";718;1625;143;120;1;236;43;19;-;57;3;-;-;-;-;-;-;-;-;-;-;22;21;3;14;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;9;-;-;3;4;3;-;4;3052
"24 Rio Grande do Norte";95;974;7;7;-;82;41;-;-;4;-;-;-;-;-;-;-;-;-;-;-;11;9;-;-;-;-;-;1;3;-;1;4;-;-;-;5;-;-;-;57;2;-;-;3;1;1;3;2;1313
"25 Para�ba";123;1281;19;10;7;148;54;3;-;9;-;-;-;-;-;-;-;-;-;-;-;12;17;-;-;-;-;-;-;1;-;-;-;-;-;-;5;-;-;-;76;8;-;-;3;-;-;-;-;1776
"26 Pernambuco";565;1685;57;180;-;233;33;21;-;9;1;-;-;-;-;-;-;-;-;-;-;30;19;-;-;-;-;-;-;-;-;1;-;-;-;3;2;-;-;-;4;4;-;1;-;1;1;-;19;2869
"27 Alagoas";186;665;24;20;-;100;29;11;-;2;-;-;-;-;-;-;-;-;-;-;-;17;14;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;12;3;-;-;-;-;8;1;-;1098
"28 Sergipe";171;442;1;41;2;36;12;1;-;10;-;-;-;-;-;-;-;-;-;-;-;2;3;-;-;-;-;-;-;-;-;5;1;-;-;-;-;1;-;-;7;1;-;-;-;-;-;-;-;736
"29 Bahia";1069;2530;12;325;17;302;108;16;-;14;-;-;-;-;-;4;-;-;7;-;-;45;44;-;1;-;-;-;2;2;-;2;-;-;-;2;2;5;1;-;13;15;-;-;1;1;1;-;1;4542
"31 Minas Gerais";2230;2421;735;57;27;403;179;8;-;4;-;-;-;-;-;4;-;-;10;-;1;59;35;1;22;1;-;-;7;8;2;7;-;-;-;3;11;2;-;-;239;6;1;-;13;5;3;7;2;6513
