"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"21 EAB3SB - EQUIPE DE ATENCAO BASICA TIPO III COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";235;139;4;31;1;11;4;-;9;3;-;-;-;-;-;-;-;-;-;-;-;7;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;5;-;4;1;-;460
"12 Acre";83;133;1;20;-;19;5;-;7;3;-;5;6;1;-;-;3;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;-;-;-;-;3;-;1;298
"13 Amazonas";280;376;45;53;-;58;8;-;38;4;-;10;32;-;7;9;-;-;26;1;-;11;5;-;-;-;-;-;1;1;-;-;-;-;3;1;-;1;-;-;2;-;-;1;4;2;3;-;1;983
"14 Roraima";62;47;11;-;-;8;5;-;29;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;167
"15 Par�";656;779;24;355;1;112;14;-;17;2;-;25;20;1;5;2;-;-;1;-;-;19;19;-;-;-;-;-;3;-;-;1;-;-;-;-;1;1;1;-;3;4;-;1;1;-;7;1;2;2078
"16 Amap�";35;88;3;-;1;11;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;146
"17 Tocantins";106;376;16;8;-;30;24;-;5;6;-;-;-;-;-;-;-;-;-;-;-;4;3;-;11;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;83;-;-;-;19;1;2;-;-;697
"21 Maranh�o";726;1376;24;74;-;201;28;-;9;6;-;-;3;-;-;-;-;-;-;-;-;11;11;-;-;-;-;-;1;2;-;1;-;-;-;-;-;2;1;-;8;3;1;4;7;3;2;5;1;2510
"22 Piau�";98;1176;46;19;-;91;60;-;-;8;-;-;-;-;-;1;-;-;-;-;-;4;12;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;104;9;1;2;1;-;1;3;-;1637
"23 Cear�";727;1631;149;103;1;245;41;19;-;60;1;-;-;-;-;-;-;-;-;-;-;23;21;2;15;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;9;-;-;3;3;4;-;4;3065
"24 Rio Grande do Norte";95;980;7;7;-;82;42;-;-;6;-;-;-;-;-;-;-;-;-;-;-;11;9;-;-;-;-;-;1;3;-;1;-;-;-;-;5;-;-;-;58;2;-;-;3;1;1;3;2;1319
"25 Para�ba";120;1285;19;10;7;152;53;3;-;11;-;-;-;-;-;-;-;-;-;-;-;12;17;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;75;9;-;-;3;-;-;-;-;1781
"26 Pernambuco";555;1704;56;175;-;236;31;21;-;8;1;-;-;-;-;-;-;-;-;-;-;29;18;-;-;-;-;-;-;-;-;1;-;-;-;3;2;-;-;-;4;4;-;1;-;1;2;-;20;2872
"27 Alagoas";183;665;24;19;-;99;29;11;-;3;-;-;-;-;-;-;-;-;-;-;-;17;14;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;12;3;-;-;-;-;8;1;-;1094
"28 Sergipe";173;444;1;41;2;36;12;1;-;11;-;-;-;-;-;-;-;-;-;-;-;2;3;-;-;-;-;-;-;-;-;5;1;-;-;-;-;1;-;-;7;1;-;-;-;-;-;-;-;741
"29 Bahia";1069;2547;12;324;17;307;107;16;-;17;-;-;-;-;-;4;-;-;7;-;-;45;45;-;1;-;-;-;2;2;-;2;-;-;-;2;2;5;-;-;13;15;-;-;1;1;1;-;1;4565
"31 Minas Gerais";2249;2445;731;56;25;416;188;8;-;3;-;-;-;-;-;5;-;-;7;1;2;59;35;1;21;1;-;-;8;9;2;7;-;-;-;2;12;2;-;-;240;6;1;-;15;5;4;7;4;6577
