"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";226;158;5;27;3;12;2;-;9;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;5;-;2;1;-;462
"12 Acre";86;128;1;19;-;17;4;-;8;1;-;5;6;1;-;-;5;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;1;291
"13 Amazonas";277;353;41;76;-;45;6;-;42;3;-;15;30;-;6;9;-;-;26;1;11;5;-;-;-;-;-;-;-;-;-;1;-;2;1;-;1;-;-;2;-;-;1;4;2;3;-;1;964
"14 Roraima";69;40;10;1;-;5;4;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;133
"15 Par�";597;730;25;388;1;93;11;-;14;1;-;23;15;1;3;2;-;-;1;-;17;19;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;4;-;1;-;-;5;1;2;1957
"16 Amap�";74;87;4;-;1;16;2;-;-;-;-;1;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;1;194
"17 Tocantins";111;357;16;9;-;25;22;-;5;5;-;-;-;-;-;-;-;-;-;-;4;3;2;13;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;75;-;-;-;20;-;2;-;-;670
"21 Maranh�o";740;1278;23;95;-;160;29;-;3;23;-;-;3;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;-;-;3;-;-;-;-;-;3;-;-;7;3;1;4;8;2;2;3;-;2412
"22 Piau�";107;1152;47;10;-;83;56;-;-;4;-;-;-;-;-;-;-;-;-;-;4;11;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;103;8;1;2;-;-;1;-;-;1590
"23 Cear�";754;1431;139;170;3;219;38;19;-;107;5;-;-;-;-;-;-;-;-;-;19;19;3;11;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;2;8;-;-;3;2;5;-;2;2962
"24 Rio Grande do Norte";102;953;6;7;-;77;39;-;-;4;-;-;-;-;-;-;-;-;-;-;9;8;-;-;-;-;-;-;2;-;1;1;-;-;-;4;-;2;-;55;2;-;-;2;1;2;1;2;1280
"25 Para�ba";110;1273;19;12;7;143;55;3;-;8;-;-;-;-;-;-;-;-;-;-;9;11;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;75;6;-;-;3;-;-;-;-;1739
"26 Pernambuco";598;1599;58;197;-;217;32;19;-;15;1;-;-;-;-;-;-;-;-;-;26;15;-;-;-;-;-;-;-;-;-;1;-;-;3;2;-;-;-;2;4;-;1;-;-;2;-;10;2802
"27 Alagoas";154;659;29;33;-;92;29;11;-;2;-;-;-;-;-;-;-;-;-;-;17;14;-;-;-;-;-;-;1;-;-;-;-;-;-;6;-;-;-;11;3;-;-;-;-;2;2;-;1065
"28 Sergipe";169;438;2;28;2;27;10;-;-;9;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;6;1;-;-;-;-;1;-;-;5;1;-;-;-;-;-;-;-;700
"29 Bahia";1123;2352;14;376;18;264;97;14;-;21;-;-;-;-;-;4;-;-;7;-;41;41;-;-;-;-;-;1;-;-;8;1;-;-;2;2;5;-;-;11;12;-;-;-;1;1;-;1;4417
"31 Minas Gerais";2231;2323;712;64;29;378;176;6;-;6;-;-;-;-;-;4;-;-;11;-;53;30;-;13;-;-;-;4;5;2;8;1;-;-;4;10;2;-;-;217;6;1;-;14;4;3;4;-;6321
"32 Esp�rito Santo";293;444;2;94;11;19;12;5;-;7;-;-;-;-;-;-;-;-;7;-;-;-;1;1;-;-;-;1;3;-;2;2;-;-;1;2;-;-;-;1;-;-;-;2;-;-;-;-;910
"33 Rio de Janeiro";1348;943;220;114;29;159;10;1;-;12;2;-;-;-;-;29;-;-;4;-;56;35;-;4;-;-;-;202;50;39;40;3;5;-;2;6;10;-;-;1;4;-;1;1;-;-;-;-;3330
"35 S�o Paulo";2875;1966;206;450;51;259;44;4;-;16;10;-;-;-;-;131;20;-;94;3;180;76;10;16;3;2;1;112;45;17;62;27;6;-;7;11;25;4;-;91;6;-;-;9;1;13;2;3;6858
"41 Paran�";994;967;357;160;2;123;65;-;-;14;2;-;-;-;-;7;4;-;43;6;21;10;6;2;4;-;-;15;4;1;20;6;4;-;3;7;1;2;1;79;-;-;-;2;1;-;1;2;2936
"42 Santa Catarina";725;956;55;58;1;104;54;2;-;7;-;-;-;-;-;3;-;-;5;1;9;6;2;-;-;-;-;3;1;-;5;2;-;-;3;1;-;-;-;111;3;-;-;9;2;2;2;5;2137
"43 Rio Grande do Sul";985;932;52;149;1;47;24;7;-;7;4;-;-;-;-;8;15;3;12;5;30;10;3;6;-;1;-;7;7;-;38;7;3;-;1;4;1;21;-;78;2;-;2;6;2;20;3;4;2507
"50 Mato Grosso do Sul";31;492;17;79;5;33;19;19;-;8;-;-;-;-;-;-;-;-;1;-;4;5;-;-;-;-;-;-;3;-;-;5;-;-;-;2;1;1;-;11;2;-;-;19;8;7;4;1;777
"51 Mato Grosso";205;426;57;74;7;17;22;-;9;2;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;29;1;-;-;-;-;-;-;-;855
"52 Goi�s";367;930;91;28;5;74;38;1;-;-;-;-;-;-;-;1;-;-;-;-;27;25;1;1;-;-;-;-;-;1;-;1;-;-;-;-;3;-;-;89;6;-;-;16;4;1;1;-;1711
"53 Distrito Federal";181;94;-;12;-;11;-;-;-;4;-;-;-;-;-;3;5;-;1;1;14;9;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;3;2;-;5;348
"Total";15532;23461;2208;2730;176;2719;900;111;90;286;24;44;56;2;9;201;49;3;212;17;576;372;28;67;7;3;1;346;121;60;195;60;18;2;30;68;57;30;1;1061;81;3;12;123;33;78;25;40;52328
