"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";229;151;4;32;2;12;2;-;9;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;6;-;1;1;-;461
"12 Acre";84;128;1;19;-;17;4;-;8;-;-;5;6;1;-;-;4;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;1;287
"13 Amazonas";276;358;43;70;-;49;6;-;43;3;-;15;32;-;6;9;-;-;26;1;11;5;-;-;-;-;-;1;-;-;-;1;-;2;1;-;2;-;-;2;-;-;1;4;2;3;-;1;973
"14 Roraima";68;45;11;1;-;5;6;-;12;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;152
"15 Par�";568;716;26;396;1;92;12;-;12;1;-;21;16;1;3;2;-;-;1;-;18;19;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;1;4;-;1;-;-;5;1;2;1923
"16 Amap�";70;86;5;-;1;16;2;-;-;-;-;1;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;1;190
"17 Tocantins";111;360;16;11;-;28;22;-;5;3;-;-;-;-;-;-;-;-;-;-;4;3;1;14;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;76;-;-;-;20;-;2;-;-;677
"21 Maranh�o";753;1291;21;85;-;164;29;-;3;16;-;-;3;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;3;-;1;-;-;-;-;-;2;-;-;8;3;1;4;7;1;2;3;-;2422
"22 Piau�";95;1169;46;9;-;84;58;-;-;8;-;-;-;-;-;-;-;-;-;-;4;12;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;103;9;1;2;1;-;1;-;-;1603
"23 Cear�";759;1433;139;173;2;221;42;19;-;117;7;-;-;-;-;-;-;-;-;-;20;19;4;15;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;8;-;-;3;3;5;-;2;2995
"24 Rio Grande do Norte";108;949;6;6;-;79;39;-;-;5;-;-;-;-;-;-;-;-;-;-;10;9;-;-;-;-;-;1;2;-;1;3;-;-;-;3;-;-;-;57;2;-;-;3;1;1;2;2;1289
"25 Para�ba";119;1257;18;16;7;141;54;3;-;12;-;-;-;-;-;-;-;-;-;-;10;15;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;77;9;-;-;3;-;-;-;-;1746
"26 Pernambuco";587;1607;56;205;-;219;32;19;-;21;2;-;-;-;-;-;-;-;-;-;29;18;-;-;-;-;-;-;-;-;-;1;-;-;3;2;-;-;-;3;4;-;1;-;-;2;-;19;2830
"27 Alagoas";161;662;29;30;-;94;29;11;-;-;-;-;-;-;-;-;-;-;-;-;17;14;-;-;-;-;-;-;1;-;-;-;-;-;-;6;-;-;-;12;3;-;-;-;-;6;1;-;1076
"28 Sergipe";166;432;2;39;2;32;13;1;-;13;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;5;2;-;-;-;-;1;-;-;6;1;-;-;-;-;-;-;-;718
"29 Bahia";1111;2378;16;368;17;274;105;15;-;22;-;-;-;-;-;4;-;-;7;-;43;45;-;1;-;-;-;1;-;-;5;1;-;-;2;2;5;-;-;9;15;-;-;-;1;1;-;1;4449
"31 Minas Gerais";2227;2336;703;67;28;382;175;7;-;9;-;-;-;-;-;4;-;-;11;-;58;33;1;23;-;-;-;4;5;2;7;4;-;-;4;10;1;-;-;217;6;1;-;14;4;4;4;-;6351
