"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";230;146;4;29;2;11;2;-;8;-;-;-;-;-;-;-;-;-;-;-;6;3;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;6;-;1;-;-;452
"12 Acre";85;131;1;18;-;19;4;-;8;1;-;5;6;1;-;-;3;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;-;291
"13 Amazonas";271;369;42;62;-;50;7;-;39;3;1;9;34;-;7;9;-;-;26;1;11;5;-;-;-;-;-;1;-;-;-;-;-;2;1;-;1;-;-;2;-;-;1;4;2;3;-;1;964
"14 Roraima";68;45;11;-;-;6;6;-;11;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;151
"15 Par�";624;756;26;382;1;100;14;-;19;1;-;21;17;1;3;2;-;-;1;-;19;20;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;3;-;2;4;-;1;-;-;5;1;2;2027
"16 Amap�";54;80;4;-;1;13;2;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;162
"17 Tocantins";109;367;16;7;-;29;23;-;5;10;-;-;-;-;-;-;-;-;-;-;4;3;-;13;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;81;-;-;-;19;1;1;-;-;689
"21 Maranh�o";711;1348;23;92;-;180;30;-;7;9;-;-;3;-;-;-;-;-;-;-;11;11;-;-;-;-;-;1;2;-;1;-;-;-;-;-;2;-;-;8;3;1;4;5;3;2;5;-;2462
"22 Piau�";93;1179;46;13;-;88;58;-;-;5;-;-;-;-;-;2;-;-;-;-;4;12;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;106;9;1;2;1;-;1;2;-;1623
"23 Cear�";730;1599;135;125;2;230;44;19;-;64;4;-;-;-;-;-;-;-;-;-;20;22;4;12;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;9;-;-;2;3;1;-;6;3034
"24 Rio Grande do Norte";95;963;9;5;-;81;39;-;-;6;-;-;-;-;-;-;-;-;-;-;11;9;-;-;-;-;-;1;2;-;1;4;-;-;-;5;-;-;-;58;2;-;-;3;1;1;2;2;1300
"25 Para�ba";109;1281;19;16;7;145;55;3;-;8;-;-;-;-;-;-;-;-;-;-;12;17;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;77;9;-;-;3;-;-;-;-;1766
"26 Pernambuco";573;1670;56;183;-;229;33;21;-;10;1;-;-;-;-;-;-;-;-;-;30;19;-;-;-;-;-;-;-;-;1;-;-;-;3;2;-;-;-;3;4;-;1;-;1;2;-;19;2861
"27 Alagoas";186;658;24;22;-;97;29;11;-;1;-;-;-;-;-;-;-;-;-;-;17;14;-;1;-;-;1;-;-;-;-;-;-;-;-;6;-;-;-;12;3;-;-;-;-;8;1;-;1091
"28 Sergipe";174;441;1;38;2;35;12;1;-;4;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;6;1;-;-;-;-;1;-;-;7;1;-;-;-;-;-;-;-;727
"29 Bahia";1066;2480;13;353;17;287;108;16;-;23;-;-;-;-;-;4;-;-;7;-;44;46;-;1;-;-;-;2;-;-;2;1;-;-;2;2;5;-;-;11;15;-;-;-;1;1;-;1;4508
"31 Minas Gerais";2228;2382;690;56;28;383;179;8;-;3;-;-;-;-;-;4;-;-;11;-;59;34;1;22;2;-;-;6;11;1;8;1;-;-;3;11;1;-;-;233;6;1;-;14;5;3;7;1;6402
