"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";231;151;4;34;2;11;2;-;9;-;-;-;-;-;-;-;-;-;-;-;5;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;6;-;1;1;-;462
"12 Acre";85;130;1;18;-;17;4;-;9;-;-;5;6;1;-;-;4;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;3;-;1;290
"13 Amazonas";280;361;43;69;-;49;6;-;42;2;-;15;32;-;6;9;-;-;26;1;11;5;-;-;-;-;-;1;-;-;-;-;-;2;1;-;2;-;-;2;-;-;1;4;2;3;-;1;976
"14 Roraima";69;43;11;1;-;5;5;-;27;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;165
"15 Par�";592;741;26;401;1;98;12;-;12;1;-;22;16;1;2;2;-;-;1;-;19;20;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;1;4;-;1;-;-;5;1;1;1984
"16 Amap�";68;82;4;-;1;15;2;-;-;-;-;1;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;1;182
"17 Tocantins";110;361;16;10;-;28;22;-;5;4;-;-;-;-;-;-;-;-;-;-;3;3;1;15;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;76;-;-;-;20;-;2;-;-;677
"21 Maranh�o";743;1297;22;92;-;164;29;-;3;14;-;-;3;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;3;-;1;-;-;-;-;-;2;-;-;8;3;1;4;7;1;2;3;-;2424
"22 Piau�";92;1169;47;10;-;85;58;-;-;12;-;-;-;-;-;-;-;-;-;-;4;12;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;102;9;1;2;1;-;1;-;-;1606
"23 Cear�";726;1453;138;183;2;219;43;19;-;120;7;-;-;-;-;-;-;-;-;-;20;21;7;13;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;9;-;-;3;3;5;-;2;2997
"24 Rio Grande do Norte";104;954;6;7;-;77;39;-;-;3;-;-;-;-;-;-;-;-;-;-;10;9;-;-;-;-;-;1;2;-;1;4;-;-;-;4;-;-;-;57;2;-;-;3;1;1;2;2;1289
"25 Para�ba";120;1256;18;18;7;144;55;3;-;13;-;-;-;-;-;-;-;-;-;-;10;15;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;77;9;-;-;3;-;-;-;-;1753
"26 Pernambuco";584;1622;57;198;-;218;31;19;-;21;1;-;-;-;-;-;-;-;-;-;30;19;-;-;-;-;-;-;-;-;1;1;-;-;3;2;-;-;-;3;4;-;1;-;-;2;-;19;2836
"27 Alagoas";159;660;29;31;-;95;29;11;-;1;-;-;-;-;-;-;-;-;-;-;17;14;-;-;-;-;-;-;1;-;-;1;-;-;-;6;-;-;-;12;3;-;-;-;-;6;1;-;1076
"28 Sergipe";163;431;1;42;2;33;13;1;-;15;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;5;2;-;-;-;-;1;-;-;6;1;-;-;-;-;-;-;-;719
"29 Bahia";1109;2365;16;369;17;273;104;15;-;34;-;-;-;-;-;4;-;-;7;-;43;45;-;1;-;-;-;1;-;-;4;2;-;-;2;2;5;-;-;9;15;-;-;-;1;1;-;1;4445
"31 Minas Gerais";2216;2347;706;68;28;382;177;8;-;10;-;-;-;-;-;4;-;-;11;-;58;33;1;22;1;-;-;5;5;1;8;3;-;-;4;10;1;-;-;219;6;1;-;14;4;3;5;-;6361
"32 Esp�rito Santo";289;420;2;110;11;17;12;5;-;6;-;-;-;-;-;-;-;-;6;-;-;-;1;1;-;-;-;1;6;-;2;2;-;-;1;2;-;2;-;1;-;-;-;2;-;1;-;-;900
"33 Rio de Janeiro";1397;980;217;113;5;162;10;1;-;7;2;-;-;-;-;26;-;-;4;-;57;36;-;3;-;-;-;153;35;34;43;15;4;-;1;6;11;-;-;1;4;-;1;-;-;-;-;-;3328
"35 S�o Paulo";2890;1963;204;447;51;290;44;4;-;21;11;-;-;-;-;140;21;-;98;4;180;78;11;12;1;2;1;119;52;19;59;27;7;-;7;12;24;2;1;96;7;-;-;9;1;14;2;3;6934
"41 Paran�";1014;948;351;166;2;123;63;1;-;13;2;-;-;-;-;8;2;-;41;8;21;11;6;3;4;-;-;15;3;1;21;6;3;-;4;7;1;2;1;85;1;-;-;2;1;-;1;2;2943
"42 Santa Catarina";750;964;54;56;1;104;59;2;-;6;-;-;-;-;-;3;-;-;3;1;10;6;2;-;-;-;-;4;-;-;3;2;-;-;3;1;-;-;-;114;3;-;-;10;2;2;2;6;2173
"43 Rio Grande do Sul";998;918;45;149;1;49;25;7;-;8;8;-;-;-;-;7;15;3;13;5;30;10;2;8;-;1;-;11;10;-;36;9;2;-;1;4;1;21;-;79;2;-;2;6;2;20;2;4;2514
"50 Mato Grosso do Sul";30;507;19;80;5;33;20;18;-;9;-;-;-;-;-;-;-;-;1;-;5;6;-;-;-;-;-;-;1;-;-;6;-;-;-;2;1;1;-;12;2;-;-;18;7;8;3;1;795
"51 Mato Grosso";202;432;55;73;6;17;22;-;11;3;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;31;1;-;-;-;-;-;1;-;860
"52 Goi�s";361;925;90;27;4;73;39;1;-;-;-;-;-;-;-;1;-;-;-;-;28;26;1;1;-;-;-;-;-;1;-;1;1;-;-;-;3;-;-;89;7;-;-;17;5;1;1;-;1703
"53 Distrito Federal";214;91;-;12;-;14;-;-;-;4;-;-;-;-;-;1;5;-;-;2;14;9;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;3;2;-;5;379
"Total";15596;23571;2182;2784;146;2795;925;115;118;327;31;43;59;2;8;205;47;3;211;21;595;398;32;79;6;3;1;311;118;56;186;81;17;2;30;69;57;30;2;1087;92;3;12;125;33;83;25;49;52771
