"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"09 EMSIAL  EQ MULTIDISC AT BASICA SAUDE INDIGENA-AMAZONIA LEGAL";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"11 EACSSB_M2 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MII";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"14 ESFF - EQUIPE DE SAUDE DA FAMILIA FLUVIAL";"15 ESFFSB - ESF FLUVIAL COM SAUDE BUCAL";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"20 EAB2SB - EQUIPE DE ATENCAO BASICA TIPO II COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"26 ESF1SB_M2 - ESF TIPO I COM SAUDE BUCAL MODALIDADE II";"27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II";"28 ESF2SB_M1 - ESF TIPO II COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"35 ESF4SB_M2 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE II";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"39 ESFRSB_MII - ESF RIBEIRINHA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"49 EAP";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"Total"
"11 Rond�nia";232;141;4;31;1;11;4;-;9;2;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;5;-;3;1;-;456
"12 Acre";83;134;1;17;-;19;5;-;7;2;-;5;6;1;-;-;3;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;3;-;1;294
"13 Amazonas";278;369;43;57;-;54;6;-;40;5;-;9;32;-;7;9;-;-;26;1;11;5;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;2;-;-;1;4;2;3;-;1;969
"14 Roraima";66;42;11;-;-;8;6;-;22;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;160
"15 Par�";642;767;25;372;1;112;13;-;17;1;-;25;17;1;3;2;-;-;1;-;19;19;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;4;-;1;-;-;7;1;2;2056
"16 Amap�";43;92;4;-;1;13;3;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;163
"17 Tocantins";105;373;16;8;-;29;24;-;5;6;-;-;-;-;-;-;-;-;-;-;4;3;-;12;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;83;-;-;-;19;1;2;-;-;692
"21 Maranh�o";725;1370;23;79;-;193;32;-;8;4;-;-;3;-;-;-;-;-;-;-;11;11;-;-;-;-;-;1;2;-;1;-;-;-;-;-;2;-;-;7;3;1;4;6;3;2;3;1;2495
"22 Piau�";94;1177;45;12;-;91;58;-;-;9;-;-;-;-;-;1;-;-;-;-;4;12;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;106;9;1;2;1;-;1;3;-;1627
"23 Cear�";706;1635;144;124;2;233;45;19;-;53;3;-;-;-;-;-;-;-;-;-;21;21;3;12;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;9;-;-;2;4;1;-;6;3047
"24 Rio Grande do Norte";97;971;6;6;-;79;40;-;-;4;-;-;-;-;-;-;-;-;-;-;11;9;-;-;-;-;-;-;3;-;1;5;-;-;-;5;-;-;-;59;2;-;-;3;1;1;2;2;1307
"25 Para�ba";122;1285;19;10;7;148;54;3;-;5;-;-;-;-;-;-;-;-;-;-;12;17;-;-;-;-;-;-;1;-;-;-;-;-;-;5;-;-;-;76;8;-;-;3;-;-;-;-;1775
"26 Pernambuco";572;1682;57;178;-;229;33;21;-;6;1;-;-;-;-;-;-;-;-;-;30;19;-;-;-;-;-;-;-;-;1;-;-;-;3;2;-;-;-;3;4;-;1;-;1;1;-;19;2863
"27 Alagoas";187;662;24;21;-;100;29;11;-;3;-;-;-;-;-;-;-;-;-;-;17;14;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;12;3;-;-;-;-;8;1;-;1098
"28 Sergipe";170;441;1;42;2;36;12;1;-;10;-;-;-;-;-;-;-;-;-;-;2;3;-;-;-;-;-;-;-;-;5;1;-;-;-;-;1;-;-;7;1;-;-;-;-;-;-;-;735
"29 Bahia";1072;2531;12;322;17;301;108;16;-;13;-;-;-;-;-;4;-;-;7;-;46;45;-;1;-;-;-;2;1;-;2;1;-;-;2;2;5;1;-;13;15;-;-;1;1;1;-;1;4543
"31 Minas Gerais";2230;2411;733;55;28;395;179;8;-;3;-;-;-;-;-;4;-;-;11;-;59;35;1;22;1;-;-;7;8;2;8;-;-;-;3;11;2;-;-;241;6;1;-;14;5;3;7;1;6494
"32 Esp�rito Santo";293;451;1;87;11;23;11;5;-;9;-;-;-;-;-;-;-;-;7;-;-;-;-;1;-;-;-;1;8;-;2;3;-;-;1;2;-;-;-;1;-;-;-;2;-;2;-;-;921
"33 Rio de Janeiro";1419;979;223;97;30;168;10;1;-;3;1;-;-;-;-;24;-;-;5;-;59;36;-;3;-;-;-;196;48;36;18;2;3;-;2;6;12;-;-;1;3;-;1;1;-;-;-;-;3387
"35 S�o Paulo";2957;1977;219;424;52;307;53;3;-;24;8;-;-;-;-;147;22;4;100;4;185;79;16;12;1;3;1;131;54;15;51;17;4;-;13;10;33;4;-;113;9;-;-;9;1;14;2;3;7081
"41 Paran�";1044;958;342;162;2;127;69;2;-;6;-;-;-;-;-;7;2;-;45;5;21;11;8;4;3;-;-;20;4;1;24;5;2;-;4;7;2;2;2;90;1;-;-;2;1;-;1;2;2988
"42 Santa Catarina";740;983;54;59;1;105;66;2;-;2;-;-;-;-;-;3;-;-;2;1;10;6;3;1;-;-;-;2;2;-;4;4;-;-;3;1;-;-;-;116;3;-;-;11;2;2;2;6;2196
"43 Rio Grande do Sul";1029;942;53;132;1;53;30;9;-;4;3;-;-;-;-;10;15;3;11;4;31;10;3;9;-;-;-;13;12;-;32;9;1;-;1;4;1;21;-;89;2;-;2;6;2;21;2;4;2574
