"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";2;-;-;1;-;-;-;8;-;-;-;-;-;-;8;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;446;202;31;1;18;2;22;747
"12 Acre";2;-;-;1;-;1;-;7;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;262;172;27;1;6;4;32;520
"13 Amazonas";-;-;-;2;-;-;-;59;-;-;-;-;-;-;23;10;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1032;781;143;3;12;1;138;2205
"14 Roraima";-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;233;131;23;2;6;-;1;422
"15 Par�";1;-;-;5;-;2;-;17;-;1;-;-;-;-;49;59;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;2237;1340;208;8;23;10;114;4098
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;202;171;42;2;2;-;27;455
"17 Tocantins";-;-;-;-;-;3;-;7;-;-;-;-;-;-;7;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;600;487;143;2;26;3;14;1297
"21 Maranh�o";3;1;-;1;-;2;-;11;-;-;-;-;-;-;19;29;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;2587;1872;331;6;33;35;40;4987
"22 Piau�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;16;-;-;-;-;-;-;-;-;-;-;-;-;-;10;1;-;-;-;-;-;1391;1317;268;2;14;17;4;3047
"23 Cear�";-;-;-;3;-;11;-;22;-;-;-;-;-;-;68;59;1;-;-;-;-;-;-;-;1;-;-;-;-;28;-;-;-;-;-;-;2990;2394;347;10;22;28;74;6058
"24 Rio Grande do Norte";-;-;-;2;-;6;2;-;-;-;-;-;-;-;11;15;-;-;-;-;1;-;-;-;-;-;-;-;-;10;-;2;-;-;-;-;1183;1110;176;5;22;3;24;2572
"25 Para�ba";1;-;-;3;-;-;-;3;-;-;-;-;-;-;24;42;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;1555;1463;304;5;22;26;18;3496
"26 Pernambuco";-;-;-;27;-;4;-;21;-;-;-;-;-;-;43;48;-;-;-;-;-;-;-;-;-;-;-;-;1;27;-;-;-;-;-;-;2724;2171;318;10;62;2;111;5569
"27 Alagoas";3;-;-;-;-;-;-;8;-;-;-;-;-;-;24;43;-;-;-;-;-;-;-;-;-;-;-;-;-;28;1;-;-;-;-;-;939;833;138;6;9;7;33;2072
"28 Sergipe";-;-;-;-;-;1;-;1;-;-;-;-;-;-;14;19;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;738;550;95;2;6;10;29;1477
"29 Bahia";12;12;-;48;5;3;-;17;-;-;-;-;-;-;71;100;-;-;-;-;-;-;-;-;-;3;-;-;-;57;-;-;-;-;-;-;4404;3593;530;16;41;82;285;9279
"31 Minas Gerais";36;11;3;9;4;21;1;9;-;-;4;-;-;-;114;89;-;-;-;-;-;-;-;-;-;-;-;-;1;35;3;-;-;2;-;2;6242;4516;1122;26;143;58;330;12781
