"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";2;-;-;1;-;-;-;7;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;437;180;25;1;18;2;15;700
"12 Acre";2;-;-;1;-;1;-;7;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;259;164;16;1;6;4;23;489
"13 Amazonas";-;-;-;2;-;-;-;66;-;-;1;-;-;-;-;19;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1017;770;77;3;12;1;146;2122
"14 Roraima";-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;155;99;16;-;4;-;1;302
"15 Par�";2;-;-;5;-;2;-;17;-;1;-;-;-;-;-;47;48;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;2060;1232;133;5;20;12;162;3760
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;199;147;24;2;2;-;11;391
"17 Tocantins";-;-;-;-;-;3;-;8;-;-;-;-;-;-;-;7;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;584;477;136;2;23;3;10;1258
"21 Maranh�o";8;1;-;1;-;2;-;12;-;-;-;-;-;-;-;19;26;-;-;-;-;-;-;-;-;-;-;-;-;-;17;1;-;-;-;-;-;2508;1745;209;3;22;46;21;4641
"22 Piau�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;16;-;-;-;-;-;-;-;-;-;-;-;-;-;10;1;-;-;-;-;-;1379;1285;246;1;13;17;4;2979
"23 Cear�";-;-;-;3;-;13;-;22;-;-;-;-;-;-;-;63;48;1;-;-;-;-;-;-;-;1;-;-;-;-;18;-;-;-;-;-;-;2896;2270;274;3;20;15;33;5680
"24 Rio Grande do Norte";-;-;-;2;-;6;2;-;-;-;-;-;-;-;-;11;13;-;-;-;-;1;-;-;-;-;-;-;-;1;10;-;2;-;-;-;-;1152;1092;154;5;21;2;13;2487
"25 Para�ba";1;-;-;3;-;-;-;3;-;-;-;-;-;-;-;25;39;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;1545;1448;252;5;18;27;16;3408
"26 Pernambuco";-;-;-;34;-;4;-;20;1;-;-;-;-;-;-;40;35;-;-;-;-;-;-;-;-;-;-;-;-;1;15;-;-;-;-;-;-;2663;2101;231;9;63;4;87;5308
"27 Alagoas";3;-;-;-;-;-;-;9;-;-;-;-;-;-;-;24;39;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;934;806;128;6;10;8;24;2014
"28 Sergipe";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;15;18;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;724;504;68;1;7;11;26;1386
"29 Bahia";12;12;-;48;5;5;-;16;-;-;-;-;-;-;-;65;91;-;-;-;-;-;-;-;-;-;3;-;-;-;44;-;-;-;-;-;-;4308;3409;366;13;31;83;248;8759
"31 Minas Gerais";39;11;3;9;5;21;1;9;-;-;-;4;-;-;-;105;80;-;-;-;-;-;-;-;-;-;-;-;-;1;29;3;-;-;2;-;2;6048;4212;841;24;120;55;267;11891
"32 Esp�rito Santo";10;9;-;10;-;2;2;5;-;-;-;-;-;-;-;5;5;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;967;696;40;8;30;19;203;2013
"33 Rio de Janeiro";53;9;6;36;1;2;1;2;-;-;-;6;-;-;3;82;49;-;-;7;1;10;1;1;1;-;-;-;-;-;6;2;-;-;-;-;-;3332;1607;246;32;32;30;250;5808
"35 S�o Paulo";58;14;1;93;13;15;8;5;3;-;-;38;7;2;13;243;113;-;-;2;-;2;-;-;2;1;3;5;6;5;15;1;-;-;2;1;-;6665;4283;594;66;118;44;2459;14900
"41 Paran�";24;4;1;13;1;7;3;3;-;-;-;-;-;-;-;37;21;-;-;-;-;-;-;-;1;1;-;2;-;3;10;-;-;-;-;-;-;2683;1925;279;10;20;93;438;5579
"42 Santa Catarina";5;2;1;7;-;1;1;4;-;-;-;1;-;-;-;23;11;-;-;-;-;-;-;-;-;-;-;-;-;1;8;16;-;-;-;1;-;2178;1407;467;5;36;31;187;4393
"43 Rio Grande do Sul";1;1;-;25;-;4;2;10;1;-;-;-;1;-;-;41;13;-;-;-;-;1;-;-;-;-;-;2;-;-;12;-;-;1;-;-;-;2491;1562;158;12;66;91;609;5104
"50 Mato Grosso do Sul";1;-;-;8;-;1;-;25;-;-;-;-;-;-;-;11;10;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;747;649;97;4;73;9;19;1658
"51 Mato Grosso";-;-;-;4;-;-;-;19;-;-;-;-;-;-;-;5;6;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;889;664;77;3;13;2;45;1730
"52 Goi�s";1;-;-;4;-;10;-;2;-;-;-;1;-;-;-;43;54;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;1682;1324;158;11;74;59;133;3587
"53 Distrito Federal";2;-;-;-;-;4;-;-;-;-;-;-;-;-;-;17;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;620;298;40;5;27;8;-;1030
"Total";224;63;12;309;25;104;20;299;5;1;1;50;8;2;16;969;763;1;1;9;1;14;1;1;4;3;6;9;6;13;304;26;3;1;4;2;2;51122;36356;5352;240;899;676;5450;103377
