"Unidade da Federa��o";"01 ESF - EQUIPE DE SAUDE DA FAMILIA";"02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I";"03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II";"04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE";"05 EPEN - EQUIPE DE AT. SAUDE SIST. PENITENCIARIO";"06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1";"07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2";"08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA";"10 EACSSB_M1 - EQ AGENTES COMUNIT�RIOS COM SAUDE BUCAL - MI";"12 ESFR - EQUIPE DE SAUDE DA FAMILIA RIBEIRINHA";"13 ESFRSB_MI - ESF RIBEIRINHA COM SAUDE BUCAL MI";"16 EAB1 - EQUIPE DE ATENCAO BASICA TIPO I";"17 EAB2 - EQUIPE DE ATENCAO BASICA TIPO II";"18 EAB3 - EQUIPE DE ATENCAO BASICA TIPO III";"19 EAB1SB - EQUIPE DE ATENCAO BASICA TIPO I COM SAUDE BUCAL";"22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I";"23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO";"24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I";"25 ESF1SB_M1 - ESF TIPO I COM SAUDE BUCAL MODALIDADE I";"33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV";"34 ESF4SB_M1 - ESF TIPO IV COM SAUDE BUCAL MODALIDADE I";"36 ESFTRANS      - ESF TRANSITORIA";"37 ESFTRANSSB_M1 - ESF TRANSITORIA COM SAUDE BUCAL MI";"38 ESFTRANSSB_M2 - ESF TRANSITORIA COM SAUDE BUCAL MII";"40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I";"41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II";"42 eCR MIII - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE III";"43 ESB MI  - EQUIPE DE SAUDE BUCAL MODALIDADE I";"44 ESB MII - EQUIPE DE SAUDE BUCAL MODALIDADE II";"45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3";"46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II";"47 EAD - EQUIPE DE CUIDADOS DOMICILIARES";"50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I";"51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL";"52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II";"53 EABP2SM - EQ ATENCAO BASICA PRISIONAL TIPO II C SAUDE MENTAL";"54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III";"70 ESF - EQUIPE DE SAUDE DA FAMILIA";"71 ESB - EQUIPE DE SAUDE BUCAL";"72 ENASF-AB - EQ NUCLEO AMPLIADO SAUDE DA FAMILIA AT. PRIMARIA";"73 ECR - EQUIPE DOS CONSULTORIOS NA RUA";"74 EABP - EQUIPE DE ATENCAO PRIMARIA PRISIONAL";"75 EMAESM - EQ  MULTIPROF  ATENCAO ESPECIALIZADA SAUDE MENTAL";"76 EAP - EQUIPE DE ATENCAO PRIMARIA";"Total"
"11 Rond�nia";2;-;-;1;-;-;-;7;-;-;-;-;-;-;-;8;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;436;180;25;1;18;2;12;696
"12 Acre";2;-;-;1;-;1;-;7;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;257;164;16;1;6;4;23;487
"13 Amazonas";-;-;-;2;-;-;-;65;-;-;1;-;-;-;-;21;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1016;766;77;3;12;-;145;2116
"14 Roraima";-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;154;99;16;-;4;-;1;302
"15 Par�";2;-;-;5;-;2;-;17;-;1;-;-;-;-;-;47;48;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;2053;1228;133;5;20;12;160;3747
"16 Amap�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;199;146;24;2;2;-;11;390
"17 Tocantins";-;-;-;-;-;3;-;8;-;-;-;-;-;-;-;7;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;584;477;136;2;23;3;10;1258
"21 Maranh�o";8;1;-;1;-;2;-;12;-;-;-;-;-;-;-;19;25;-;-;-;-;-;-;-;-;-;-;-;-;-;16;1;-;-;-;-;-;2499;1741;209;3;23;46;21;4627
"22 Piau�";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;16;-;-;-;-;-;-;-;-;-;-;-;-;-;10;1;-;-;-;-;-;1381;1287;247;1;13;16;4;2983
"23 Cear�";-;-;-;3;-;13;-;22;-;-;-;-;-;-;-;64;48;1;-;-;-;-;-;-;-;1;-;-;-;-;18;-;-;-;-;-;-;2887;2265;278;3;20;14;34;5671
"24 Rio Grande do Norte";-;-;-;2;-;6;2;-;-;-;-;-;-;-;-;11;13;-;-;-;-;1;-;-;-;-;-;-;-;1;10;-;2;-;-;-;-;1149;1091;154;5;20;1;13;2481
"25 Para�ba";1;-;-;3;-;-;-;3;-;-;-;-;-;-;-;25;39;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;1545;1446;256;5;18;26;16;3409
"26 Pernambuco";-;-;-;34;-;4;-;20;1;-;-;-;-;-;-;40;34;-;-;-;-;-;-;-;-;-;-;-;-;1;14;-;-;-;-;-;-;2657;2091;233;9;63;4;82;5287
"27 Alagoas";3;-;-;-;-;-;-;9;-;-;-;-;-;-;-;24;39;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;934;803;128;6;10;8;22;2009
"28 Sergipe";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;15;18;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;720;501;68;1;7;11;27;1380
"29 Bahia";12;12;-;48;5;5;-;16;-;-;-;-;-;-;-;64;91;-;-;-;-;-;-;-;-;-;3;-;-;-;45;-;-;-;-;-;-;4297;3392;367;13;31;81;247;8729
"31 Minas Gerais";39;11;3;9;5;21;1;10;-;-;-;4;-;-;-;105;79;-;-;-;-;-;-;-;-;-;-;-;-;1;28;3;-;-;2;-;2;6036;4198;843;23;117;53;265;11858
"32 Esp�rito Santo";10;9;-;10;-;2;2;5;-;-;-;-;-;-;-;5;5;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;966;690;40;7;30;18;201;2002
"33 Rio de Janeiro";56;10;6;36;1;2;1;2;-;-;-;7;-;-;3;81;49;-;-;10;1;10;1;1;1;-;-;-;-;-;6;2;-;-;-;-;-;3330;1599;246;32;30;29;250;5802
"35 S�o Paulo";59;14;1;93;13;15;8;5;3;-;-;38;7;2;13;238;112;-;-;2;-;2;-;-;2;1;3;5;6;5;16;1;-;-;2;1;-;6643;4277;597;58;118;43;2421;14824
"41 Paran�";24;4;1;13;1;7;3;3;-;-;-;-;-;-;-;37;21;-;-;-;-;-;-;-;1;1;-;2;-;3;9;-;-;-;-;-;-;2669;1897;279;10;19;91;435;5530
"42 Santa Catarina";5;2;1;7;-;1;1;4;-;-;-;1;-;-;-;23;11;-;-;-;-;-;-;-;-;-;-;-;-;1;8;2;-;-;-;1;-;2175;1397;476;5;36;31;183;4371
"43 Rio Grande do Sul";1;1;-;25;-;4;2;10;1;-;-;-;1;-;-;38;13;-;-;-;-;1;-;-;-;-;-;2;-;-;13;-;-;1;-;-;-;2467;1551;159;11;66;91;631;5089
"50 Mato Grosso do Sul";1;-;-;8;-;1;-;25;-;-;-;-;-;-;-;11;11;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;-;-;750;648;98;4;70;9;17;1657
"51 Mato Grosso";-;-;-;4;-;-;-;19;-;-;-;-;-;-;-;8;5;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;885;661;79;3;13;2;43;1725
"52 Goi�s";1;-;-;4;-;10;-;2;-;-;-;1;-;-;-;42;53;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;1678;1320;163;11;71;57;133;3577
"53 Distrito Federal";2;-;-;-;-;4;-;-;-;-;-;-;-;-;-;17;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;620;286;40;5;16;8;-;1007
